ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
114A-cnm,cnm,Canamarí,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Groth-1988a[52, 64]",
114A-ina,ina,Inanwatan,114A,Subtypes of Asymmetric Standard Negation,A/Fin,de-Vries-1996[110-111],
114A-yrr,yrr,Yaruro,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Mosonyi-et-al-2000a[576],
114A-har,har,Haruai,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,,
114A-crt,crt,Chorote,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Gerzenstein-1983[106-107],
114A-bok,bok,Boko,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Jones-1998b[299-300, passim]",
114A-hcr,hcr,Haitian Creole,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Hall-1953[passim];DAns-1968[86, 123-132]",
114A-ebi,ebi,Ebira,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Adive-1989[71-96],
114A-ono,ono,Ono,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Wacke-1930[200],
114A-baf,baf,Bafut,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Chumbow-and-Tamanji-1994[214-225],
114A-cui,cui,Cuiba,114A,Subtypes of Asymmetric Standard Negation,A/NonReal and A/Cat,Mosonyi-et-al-2000c[239-247],
114A-gol,gol,Gola,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Koroma-1994[66, 104-117]",
114A-kwz,kwz,Kwaza,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,van-der-Voort-2000[244-258],
114A-psj,psj,Popoloca (San Juan Atzingo),114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Krumholz-et-al-1995[286, 354]",
114A-zaz,zaz,Zazaki,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Paul-1998[81-82];Sandonato-1994[130-132],
114A-nah,nah,Nahali,114A,Subtypes of Asymmetric Standard Negation,A/Fin,Kuiper-1962[34-35],
114A-ige,ige,Igede,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,"Bergman-1981[37-39, 46-49]",
114A-kae,kae,Kaki Ae,114A,Subtypes of Asymmetric Standard Negation,A/NonReal and A/Cat,"Clifton-1997[23-24, 35]",
114A-deg,deg,Degema,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Kari-2001[7];Kari-1997[passim],
114A-gnn,gnn,Gunin,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"McGregor-1993[34, 46]",
114A-lew,lew,Lewo,114A,Subtypes of Asymmetric Standard Negation,A/Fin,Early-1994a[66-70],
114A-sap,sap,Sapuan,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Jacq-and-Sidwell-1999[22],
114A-tpa,tpa,Totonac (Papantla),114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Levy-Podolsky-1990[passim],
114A-wrm,wrm,Warembori,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Donohue-1999b[32, passim]",
114A-nad,nad,Nadëb,114A,Subtypes of Asymmetric Standard Negation,A/Fin,Weir-1994[294-298],
114A-tuy,tuy,Tuyuca,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Barnes-1994[330-334],
114A-can,can,Candoshi,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Cox-1957[passim],
114A-gku,gku,Gününa Küne,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Casamiquela-1983[79],
114A-khr,khr,Kharia,114A,Subtypes of Asymmetric Standard Negation,A/Fin,"Biligiri-1965[95-96, passim]",
114A-mas,mas,Masa,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Caitucoli-1986[48],
114A-saw,saw,Sawu,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Walker-1982[47],
114A-chl,chl,Chehalis (Upper),114A,Subtypes of Asymmetric Standard Negation,A/Fin and A/Cat,Kinkade-1976,
114A-kun,kun,Kuna,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Holmer-1947[180-181],
114A-lar,lar,Laragia,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,Capell-1984b[passim],
114A-see,see,Seediq,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,Holmer-1996[61-63],
114A-wrn,wrn,Warndarang,114A,Subtypes of Asymmetric Standard Negation,A/NonReal and A/Cat,"Heath-1980b[57-61, 96-97]",
114A-kem,kem,Kemant,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Appleyard-1975[333-340];Appleyard-1984,
114A-ckl,ckl,Chinook (Lower),114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Boas-1911b[634, passim]",
114A-duk,duk,Duka,114A,Subtypes of Asymmetric Standard Negation,A/NonReal and A/Cat,"Bendor-Samuel-et-al-1973[72-73, 89-106]",
114A-hui,hui,Huichol,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Grimes-1964[88-89];Gomez-1999[116-117, passim]",
114A-kre,kre,Kresh,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Brown-1994[165-167],
114A-zap,zap,Zapotec (Mitla),114A,Subtypes of Asymmetric Standard Negation,A/NonReal and A/Cat,"Stubblefield-and-Hollenbach-1991[236, passim]",
114A-pba,pba,Pima Bajo,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Estrada-Fernandez-1996[30-31],
114A-way,way,Wayampi,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Jensen-1994[344-351],
114A-nyu,nyu,Nyulnyul,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,"McGregor-1996[26-27, 41-42]",
114A-obg,obg,Ogbronuagum,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Kari-2000[27-42],
114A-adk,adk,Andoke,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Landaburu-1979[251, passim]",
114A-koi,koi,Koiari,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Dutton-1996[29-30, 55-56]",
114A-ywl,ywl,Yawelmani,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Newman-1946[245];Newman-1944[237-238],
114A-bua,bua,Burarra,114A,Subtypes of Asymmetric Standard Negation,A/NonReal,Glasgow-and-Garner-1980[passim],
114A-cba,cba,Chumash (Barbareño),114A,Subtypes of Asymmetric Standard Negation,Non-assignable,"Wash-2001[49, passim]",
114A-god,god,Godoberi,114A,Subtypes of Asymmetric Standard Negation,A/Cat,Kibrik-1996[45-60],
114A-pec,pec,Pech,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Holt-1999b[50-53, passim]",
114A-yar,yar,Yareba,114A,Subtypes of Asymmetric Standard Negation,A/Fin,Weimer-1972[64-65],
114A-yus,yus,Yupik (Siberian),114A,Subtypes of Asymmetric Standard Negation,A/Cat,Jacobson-1990[passim],
114A-mos,mos,Mosetén,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,,
114A-acm,acm,Achumawi,114A,Subtypes of Asymmetric Standard Negation,A/Fin,"de-Angulo-and-Freeland-1931[112, 115-116, passim]",
114A-tol,tol,Tol,114A,Subtypes of Asymmetric Standard Negation,Non-assignable,Holt-1999a[49-51],
114A-bco,bco,Bella Coola,114A,Subtypes of Asymmetric Standard Negation,A/Cat,"Nater-1984[36-37, 122]",
114A-bae,bae,Baré,114A,Subtypes of Asymmetric Standard Negation,A/Fin,"Aikhenvald-1996[33-34, passim]",
