ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
84A-xas,xas,Xasonga,84A,"Order of Object, Oblique, and Verb",OVX,Koite-Herschel-1981-1982[48],
84A-ina,ina,Inanwatan,84A,"Order of Object, Oblique, and Verb",No dominant order,de-Vries-1996[ 54],
84A-les,les,Lese,84A,"Order of Object, Oblique, and Verb",No dominant order,Vorbichler-1965[ 156],
84A-lgt,lgt,Logoti,84A,"Order of Object, Oblique, and Verb",No dominant order,Tucker-1967[ 189-190],
84A-tpt,tpt,Tapieté,84A,"Order of Object, Oblique, and Verb",OVX,Gonzalez-2005[ 206],
84A-xar,xar,Xârâcùù,84A,"Order of Object, Oblique, and Verb",VOX,,
84A-ifm,ifm,Ifumu,84A,"Order of Object, Oblique, and Verb",VOX,Makouta-Mboukou-1977[ 471],
84A-tet,tet,Tetela,84A,"Order of Object, Oblique, and Verb",VOX,"Wetshemongo-1996[ 44, 433]",
84A-bik,bik,Biak,84A,"Order of Object, Oblique, and Verb",VOX,van-den-Heuvel-2006[ 284],
84A-cua,cua,Cua,84A,"Order of Object, Oblique, and Verb",VOX,Burton-1969[5],
84A-hdi,hdi,Hdi,84A,"Order of Object, Oblique, and Verb",VOX,Frajzyngier-and-Shay-2002[ 225-231],
84A-iha,iha,Iha,84A,"Order of Object, Oblique, and Verb",OXV,Voorhoeve-1975[433],
84A-tba,tba,Tabare,84A,"Order of Object, Oblique, and Verb",XOV,McVinney-and-Luzbetak-1954[15],
84A-uli,uli,Ulithian,84A,"Order of Object, Oblique, and Verb",VOX,Lynch-2002b[ 801],
84A-foe,foe,Foe,84A,"Order of Object, Oblique, and Verb",OXV,Rule-1977[34],
84A-wya,wya,Wyandot,84A,"Order of Object, Oblique, and Verb",No dominant order,Kopris-2001[passim],
84A-ayi,ayi,Anyi,84A,"Order of Object, Oblique, and Verb",VOX,Retord-1981[149],
84A-mrr,mrr,Maringarr,84A,"Order of Object, Oblique, and Verb",No dominant order,Tryon-1974[136],
84A-kkw,kkw,Karankawa,84A,"Order of Object, Oblique, and Verb",No dominant order,Gatschet-1891a[92],
84A-tho,tho,Thompson,84A,"Order of Object, Oblique, and Verb",VOX,Thompson-and-Thompson-1992[ 148],
84A-ama,ama,Amara,84A,"Order of Object, Oblique, and Verb",VOX,Thurston-1996[213],
84A-kmw,kmw,Kamu,84A,"Order of Object, Oblique, and Verb",No dominant order,Harvey-1990[passim],
84A-mdl,mdl,Matngele,84A,"Order of Object, Oblique, and Verb",No dominant order,Tryon-1974[53],
84A-one,one,One,84A,"Order of Object, Oblique, and Verb",VOX,,
84A-bnu,bnu,Bularnu,84A,"Order of Object, Oblique, and Verb",No dominant order,Breen-1980[87],
84A-emm,emm,Emmi,84A,"Order of Object, Oblique, and Verb",No dominant order,Ford-1998[312],
84A-guh,guh,Guhu-Samane,84A,"Order of Object, Oblique, and Verb",XOV,Richert-1975[ 799],
84A-ido,ido,Idoma,84A,"Order of Object, Oblique, and Verb",No dominant order,Abraham-1951[18],
