ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
60A-swv,swv,Swedish (Västerbotten),60A,"Genitives, Adjectives and Relative Clauses",Genitives and adjectives collapsed,,
60A-dat,dat,Datooga,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,,
60A-rcp,rcp,Russian-Chinese Pidgin (Birobidjan),60A,"Genitives, Adjectives and Relative Clauses",Genitives and adjectives collapsed,,
60A-beg,beg,Begak-Ida'an,60A,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,,
60A-hok,hok,Hokkien,60A,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,,
60A-lov,lov,Loven,60A,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,,
60A-pad,pad,Padoe,60A,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,Karhunen-1994,
60A-hmd,hmd,Hmong Daw,60A,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,,
60A-mzn,mzn,Mazanderani,60A,"Genitives, Adjectives and Relative Clauses",Genitives and adjectives collapsed,,
60A-nvs,nvs,Nivkh (South Sakhalin),60A,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,,
60A-pil,pil,Pileni,60A,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,Naess-2000,
60A-bok,bok,Boko,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,Jones-1998b,
60A-gil,gil,Gilaki,60A,"Genitives, Adjectives and Relative Clauses",Genitives and adjectives collapsed,,
60A-agw,agw,Alagwa,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,,
60A-mks,mks,Makassar,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,,
60A-cme,cme,Cham (Eastern),60A,"Genitives, Adjectives and Relative Clauses",Weakly differentiated,Alieva-and-Bui-Khanh-The-1999,
60A-luc,luc,Lucazi,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,Fleisch-2001,
60A-tts,tts,Tati (Southern),60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,,
60A-bgv,bgv,Bagvalal,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,Kibrik-2001[155-159],
60A-kwz,kwz,Kwaza,60A,"Genitives, Adjectives and Relative Clauses",Highly differentiated,,
60A-bal,bal,Balinese,60A,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,,
60A-xam,xam,/Xam,60A,"Genitives, Adjectives and Relative Clauses",Adjectives and relative clauses collapsed,,
