ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
81A-brl,brl,Baragaunle,81A,"Order of Subject, Object and Verb",SOV,Kretschmar-1995[ 193],
81A-buy,buy,Buli (in Ghana),81A,"Order of Subject, Object and Verb",SVO,,
81A-dhm,dhm,Dhimal,81A,"Order of Subject, Object and Verb",SOV,Cooper-1999[ 30],
81A-krz,krz,Kryz,81A,"Order of Subject, Object and Verb",SOV,Authier-2004[222],
81A-ora,ora,Emai,81A,"Order of Subject, Object and Verb",SVO,Schaefer-and-Egbokhare-2007[9],
81A-rag,rag,Raga,81A,"Order of Subject, Object and Verb",SVO,Crowley-2002c[ 634],
81A-tod,tod,Tod,81A,"Order of Subject, Object and Verb",SOV,Sharma-1989b[ 336],
81A-xas,xas,Xasonga,81A,"Order of Subject, Object and Verb",SOV,Koite-Herschel-1981-1982[48],
81A-zhn,zhn,Zhuang (Northern),81A,"Order of Subject, Object and Verb",SVO,"Yongxian-Luo-2008[ 326, 347]",
81A-ina,ina,Inanwatan,81A,"Order of Subject, Object and Verb",No dominant order,de-Vries-1996[ 52-53],
81A-les,les,Lese,81A,"Order of Subject, Object and Verb",No dominant order,Vorbichler-1965[ 155],
81A-lgt,lgt,Logoti,81A,"Order of Subject, Object and Verb",No dominant order,Tucker-1967[ 189-190],
81A-mij,mij,Miju,81A,"Order of Subject, Object and Verb",SOV,Das-Gupta-1977[8],
81A-nif,nif,Niuafo'ou,81A,"Order of Subject, Object and Verb",VSO,Early-2002[ 858],
81A-tpt,tpt,Tapieté,81A,"Order of Subject, Object and Verb",SOV,Gonzalez-2005[ 206ff],
81A-xar,xar,Xârâcùù,81A,"Order of Subject, Object and Verb",SVO,,
81A-zzo,zzo,Zapotec (Zoogocho),81A,"Order of Subject, Object and Verb",VSO,Sonnenschein-2005[ 113],
81A-anu,anu,Anufo,81A,"Order of Subject, Object and Verb",SVO,Smye-2004[ 49],
81A-eip,eip,Eipo,81A,"Order of Subject, Object and Verb",SOV,Heeschen-1998[ 287],
81A-isi,isi,Isirawa,81A,"Order of Subject, Object and Verb",SOV,Oguri-1985[143],
81A-mrq,mrq,Marquesan,81A,"Order of Subject, Object and Verb",VSO,Lynch-2002a[ 874],
81A-ndi,ndi,Ngbandi,81A,"Order of Subject, Object and Verb",SVO,"Toronzoni-1989[ 494, 503]",
81A-nng,nng,Nyanga,81A,"Order of Subject, Object and Verb",SVO,Price-1966[passim];Mateene-1980[61];Mchombo-2004[ 19],
81A-otr,otr,Otoro,81A,"Order of Subject, Object and Verb",SVO,Stevenson-1957[ 31],
81A-suk,suk,Suki,81A,"Order of Subject, Object and Verb",SOV,Voorhoeve-1975[353],
81A-tmm,tmm,Tamabo,81A,"Order of Subject, Object and Verb",SVO,Jauncey-2002[ 622],
81A-xer,xer,Xerénte,81A,"Order of Subject, Object and Verb",SOV,de-Souza-Filho-2007[ 297-299],
81A-zha,zha,Zhang-Zhung,81A,"Order of Subject, Object and Verb",SOV,Haarh-1968[19],
81A-awi,awi,Aekyom,81A,"Order of Subject, Object and Verb",SOV,Horowitz-2008[ 4];Voorhoeve-1975[390],
81A-cup,cup,Cupeño,81A,"Order of Subject, Object and Verb",SOV,Hill-2005[ 429],
81A-hoa,hoa,Hoava,81A,"Order of Subject, Object and Verb",VSO,Davis-2003[ 185],
