ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
56A-arn,arn,Arabic (Borno Nigerian),56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Owens-1993[69],
56A-hsl,hsl,Haisla,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Bach-1996,
56A-pen,pen,Pengo,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Gil-1994b;Emeneau-1980,
56A-kda,kda,Konda,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Gil-1994b;Emeneau-1980,
56A-beg,beg,Begak-Ida'an,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
56A-nvs,nvs,Nivkh (South Sakhalin),56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
56A-bgv,bgv,Bagvalal,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Kibrik-2001[165],
56A-lu,lu,Lü,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Morev-1978,
56A-gaa,gaa,Gaagudju,56A,Conjunctions and Universal Quantifiers,Formally different,Harvey-1992,
56A-vaf,vaf,Vafsi,56A,Conjunctions and Universal Quantifiers,Formally different,,
56A-pnr,pnr,Panare,56A,Conjunctions and Universal Quantifiers,Formally different,,
56A-saw,saw,Sawu,56A,Conjunctions and Universal Quantifiers,Formally different,Walker-1982,
56A-drg,drg,Dargwa,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",van-den-Berg-2001,
56A-jam,jam,Jaminjung,56A,Conjunctions and Universal Quantifiers,Formally different,,
56A-hpd,hpd,Hup,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",,
56A-pba,pba,Pima Bajo,56A,Conjunctions and Universal Quantifiers,Formally different,Estrada-Fernandez-1996,
56A-nyu,nyu,Nyulnyul,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",McGregor-1996,
56A-ath,ath,Athpare,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Ebert-1997b[90-91],
56A-jav,jav,Javanese,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
56A-koi,koi,Koiari,56A,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative",Dutton-1996,
56A-tps,tps,Tepehuan (Southeastern),56A,Conjunctions and Universal Quantifiers,Formally different,Willett-1991,
56A-ses,ses,Sesotho,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Guma-1971[107],
56A-kku,kku,Korku,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",Nagaraja-1999,
56A-bel,bel,Belhare,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
56A-min,min,Minangkabau,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
56A-mos,mos,Mosetén,56A,Conjunctions and Universal Quantifiers,"Formally similar, with interrogative",,
