ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
142A-abh,abh,Arabic (Bahrain),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-akm,akm,Arakanese (Marma),142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-aul,aul,Aulua,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-bmn,bmn,Bamun,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-bos,bos,Bosnian,142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-chz,chz,Chaozhou,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-fiw,fiw,Fijian (Wayan),142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-fbf,fbf,Fula (Burkina Faso),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-gvi,gvi,German (Viennese),142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-gho,gho,Ghotuo,142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-gcy,gcy,Greek (Cypriot),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-gue,gue,Guere,142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-gfr,gfr,Guianese French Creole,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-gro,gro,Guro,142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-inj,inj,Indonesian (Jakarta),142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-itb,itb,Italian (Bologna),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-ifi,ifi,Italian (Fiorentino),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-itg,itg,Italian (Genoa),142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-itn,itn,Italian (Napolitanian),142A,Para-Linguistic Usages of Clicks,Logical meanings,Macleod-1992,
142A-kij,kij,Kitja,142A,Para-Linguistic Usages of Clicks,Other or none,,
142A-kou,kou,Kom,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-lns,lns,Lamnso',142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-myk,myk,Malay (Kuala Lumpur),142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-mnk,mnk,Maninka,142A,Para-Linguistic Usages of Clicks,Logical meanings,,
142A-mbz,mbz,Mbe',142A,Para-Linguistic Usages of Clicks,Affective meanings,,
142A-mdb,mdb,Mudburra,142A,Para-Linguistic Usages of Clicks,Other or none,,
142A-oi,oi,Oi,142A,Para-Linguistic Usages of Clicks,Affective meanings,,
