ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
129A-ayn,ayn,Aynu,129A,Hand and Arm,Identical,Hayasi-et-al-1999,
129A-cpw,cpw,Chippewa (Red Lake and Pillager),129A,Hand and Arm,Different,Schuster-1970,
129A-dda,dda,Dhuwal (Dätiwuy),129A,Hand and Arm,Different,Ganambarr-1999,
129A-mca,mca,Maca,129A,Hand and Arm,Different,Hunt-1915,
129A-nnt,nnt,Nanticoke,129A,Hand and Arm,Different,Murray-1996,
129A-oma,oma,Omagua,129A,Hand and Arm,Different,Tavera-Acosta-1907,
129A-abw,abw,Abenaki (Western),129A,Hand and Arm,Different,Day-1994;Day-1995,
129A-alg,alg,Algonquin,129A,Hand and Arm,Different,Lemoine-1911,
129A-arx,arx,'Are'are,129A,Hand and Arm,Identical,Geerts-1970,
129A-ati,ati,Atikamekw,129A,Hand and Arm,Different,Beland-1978,
129A-bpb,bpb,Bahnar (Plei Bong-Mang Yang),129A,Hand and Arm,Different,Banker-et-al-1979,
129A-bca,bca,Bandjalang (Casino),129A,Hand and Arm,Different,Crowley-1978,
129A-bnq,bnq,Beng,129A,Hand and Arm,Identical,Gottlieb-and-Murphy-1995,
129A-beo,beo,Beothuk,129A,Hand and Arm,Different,Hewson-1978,
129A-brc,brc,Boruca,129A,Hand and Arm,Identical,Arroyo-1972,
129A-cab,cab,Cabécar,129A,Hand and Arm,Identical,Margery-Pena-1989,
129A-cnl,cnl,Canela,129A,Hand and Arm,Different,Abreu-1931,
129A-crl,crl,Carolinian,129A,Hand and Arm,Identical,Jackson-and-Marck-1991,
129A-cat,cat,Catio,129A,Hand and Arm,Different,Huber-and-Reed-1992,
129A-ctt,ctt,Chatino (Tataltepec),129A,Hand and Arm,Identical,Pride-and-Pride-1970,
129A-cec,cec,Chicomuceltec,129A,Hand and Arm,Different,Sapper-1912,
129A-cma,cma,Chimila,129A,Hand and Arm,Different,Huber-and-Reed-1992,
129A-csf,csf,Chinantec (San Felipe Usila),129A,Hand and Arm,Identical,Skinner-and-Skinner-2000,
129A-clc,clc,Colac,129A,Hand and Arm,Different,Blake-et-al-1998b,
129A-cmc,cmc,Comecrudo,129A,Hand and Arm,Identical,Swanton-1940,
129A-ctc,ctc,Cuicatec,129A,Hand and Arm,Different,Anderson-and-Roque-1983,
129A-cut,cut,Cuitlatec,129A,Hand and Arm,Different,Hendrichs-Perez-1946,
129A-cur,cur,Curripaco,129A,Hand and Arm,Different,Huber-and-Reed-1992,
129A-dgx,dgx,Degexit'an,129A,Hand and Arm,Different,Kari-1978,
