ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
105A-gdf,gdf,Guduf,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,,
105A-kda,kda,Konda,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Krishnamurti-and-Benham-1998[251],
105A-mrq,mrq,Marquesan,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,Lynch-2002a[874],
105A-tst,tst,Tsat,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,,
105A-dug,dug,Dullay (Gollango),105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Amborn-et-al-1980[79],
105A-hoa,hoa,Hoava,105A,Ditransitive Constructions: The Verb 'Give',Mixed,"Davis-2003[122-3, 190-1]",
105A-trt,trt,Ternate,105A,Ditransitive Constructions: The Verb 'Give',Mixed,Hayami-Allen-2001[63-4],
105A-tis,tis,Tibetan (Shigatse),105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Haller-2000[111],
105A-ano,ano,Anong,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,,
105A-kug,kug,Kunming,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,Gui-2000[60],
105A-olu,olu,Olutec,105A,Ditransitive Constructions: The Verb 'Give',Mixed,Zavala-2002[187-8],
105A-pta,pta,Paita,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Shintani-and-Paita-1990[248],
105A-uku,uku,Upper Kuskokwim,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,,
105A-zaq,zaq,Zapotec (Quiegolani),105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,"Black-2000[46, 63]",
105A-boz,boz,Bozo (Tigemaxo),105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,"Blecke-1996[155, 157, 220]",
105A-hdi,hdi,Hdi,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,Frajzyngier-and-Shay-2002[182],
105A-mbo,mbo,Monumbo,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,"Vormann-and-Scharfenberger-1914[9, 54]",
105A-wlm,wlm,Walmatjari,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,Hudson-1978[24-6],
105A-dhb,dhb,Dharumbal,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,Terrill-2002[46-7],
105A-mdr,mdr,Madurese,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,"Davies-1999[25, 52-3]",
105A-tor,tor,Toratán,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Himmelmann-and-Wolf-1999[23],
105A-dhi,dhi,Dhivehi,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Cain-and-Gair-2000[36-7],
105A-kod,kod,Kodava,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Ebert-1996[41],
105A-kuk,kuk,Kukú,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,"Cohen-2000[11, 81, 116, 124-5]",
105A-tsz,tsz,Tsez,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Comrie-2000[363],
105A-yir,yir,Yir Yiront,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,"Alpher-1991[27, 61]",
105A-bkt,bkt,Brokskat,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Sharma-1998[64],
105A-ory,ory,Orya,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Fields-1997[239],
105A-wir,wir,Wirangu,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Hercus-1999a[50],
105A-biu,biu,Bisu,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Shixuan-2001[87],
105A-gol,gol,Gola,105A,Ditransitive Constructions: The Verb 'Give',Double-object construction,"Koroma-1994[91, 146-8]",
105A-laz,laz,Laz,105A,Ditransitive Constructions: The Verb 'Give',Secondary-object construction,"Kutscher-2001[148, 207-9]",
105A-zaz,zaz,Zazaki,105A,Ditransitive Constructions: The Verb 'Give',Indirect-object construction,Selcan-1998[279],
