ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
9A-apk,apk,A-Pucikwar,9A,The Velar Nasal,Initial velar nasal,Portman-1887b[198],
9A-akb,akb,Aka-Biada,9A,The Velar Nasal,Initial velar nasal,Portman-1887b[198],
9A-akc,akc,Aka-Cari,9A,The Velar Nasal,Initial velar nasal,Portman-1887b[61],
9A-akk,akk,Aka-Kede,9A,The Velar Nasal,Initial velar nasal,Portman-1887b[209],
9A-bth,bth,Bathari,9A,The Velar Nasal,No velar nasal,Lonnet-and-Simeone-Senelle-1997[349],
9A-cht,cht,Chatino (Nopala),9A,The Velar Nasal,No velar nasal,McKaughan-1954[24],
9A-ckh,ckh,Cheke Holo,9A,The Velar Nasal,Initial velar nasal,White-1988[138],
9A-csc,csc,Chinantec (Sochiapan),9A,The Velar Nasal,Initial velar nasal,Foris-1973[233-4],
9A-cly,cly,Chulym,9A,The Velar Nasal,No initial velar nasal,Birjukovich-1997[492],
9A-dol,dol,Dolgan,9A,The Velar Nasal,Initial velar nasal,Ubrjatova-1985[41],
9A-ets,ets,Etsako,9A,The Velar Nasal,No velar nasal,Elimelech-1978,
9A-mmz,mmz,Mam (Southern),9A,The Velar Nasal,No velar nasal,Kaufman-1969[158],
9A-guq,guq,Guaque,9A,The Velar Nasal,No velar nasal,Durbin-and-Seijas-1972,
9A-hav,hav,Havasupai,9A,The Velar Nasal,No velar nasal,Yegerlehner-and-Voegelin-1957[86-87],
9A-hia,hia,Hianacoto,9A,The Velar Nasal,No velar nasal,Durbin-and-Seijas-1972,
9A-hnk,hnk,Hinuq,9A,The Velar Nasal,No velar nasal,Bokarev-1959[68],
9A-jib,jib,Jibbali,9A,The Velar Nasal,No velar nasal,Lonnet-and-Simeone-Senelle-1997[349],
9A-jrn,jrn,Juruna,9A,The Velar Nasal,No velar nasal,Rodrigues-1999a[113],
9A-kiq,kiq,Kalmyk (Issyk-Kul),9A,The Velar Nasal,No initial velar nasal,Tenishev-1997a[69],
9A-khv,khv,Khvarshi,9A,The Velar Nasal,No velar nasal,Bokarev-1959[68],
9A-kfy,kfy,Kirghiz (Fu-Yu),9A,The Velar Nasal,No velar nasal,Tenishev-1997d[457],
9A-kym,kym,Krymchak,9A,The Velar Nasal,No initial velar nasal,Rebi-et-al-1997[311],
9A-krz,krz,Kryz,9A,The Velar Nasal,No velar nasal,Saadiev-1994[409],
9A-lha,lha,Laha,9A,The Velar Nasal,Initial velar nasal,Solntseva-and-Xoang-1986[13],
9A-lum,lum,Lummi,9A,The Velar Nasal,Initial velar nasal,Thompson-et-al-1974[187],
9A-mma,mma,Mandaic (Modern),9A,The Velar Nasal,No velar nasal,Malone-1997[142],
9A-muo,muo,Muong,9A,The Velar Nasal,Initial velar nasal,Sokolovskaja-and-Nguyen-1987[18],
9A-naa,naa,Neo-Aramaic (Amadiya),9A,The Velar Nasal,No velar nasal,Hoberman-1997[315],
9A-nok,nok,Noghay (Karagash),9A,The Velar Nasal,No initial velar nasal,Arslanov-1997b[188-9],
9A-sch,sch,Saanich,9A,The Velar Nasal,Initial velar nasal,Thompson-et-al-1974[187],
9A-sae,sae,Saek,9A,The Velar Nasal,Initial velar nasal,"Morev-1988[15, 92]",
9A-syg,syg,Saryg Yughur,9A,The Velar Nasal,No initial velar nasal,Tenishev-1997c[348],
9A-swr,swr,Shoshone (Wind River),9A,The Velar Nasal,No velar nasal,Davis-1966[126],
9A-sgs,sgs,Songish,9A,The Velar Nasal,Initial velar nasal,Thompson-et-al-1974[187],
9A-soo,soo,Sooke,9A,The Velar Nasal,Initial velar nasal,Thompson-et-al-1974[187],
9A-ttb,ttb,Tatar (Baraba),9A,The Velar Nasal,No initial velar nasal,Dmitrieva-1997[200],
9A-tlb,tlb,Tatar-Noghay (Alabugat),9A,The Velar Nasal,No initial velar nasal,Arslanov-1997a[173],
9A-tec,tec,Teco,9A,The Velar Nasal,No velar nasal,Kaufman-1969[158],
9A-tnd,tnd,Tindi,9A,The Velar Nasal,No velar nasal,Gudava-1964[10],
9A-tod,tod,Tod,9A,The Velar Nasal,Initial velar nasal,Sharma-1989b[271],
9A-tex,tex,Turkic (East-Central Xorasan),9A,The Velar Nasal,No initial velar nasal,Potseluevskij-1997b[478],
9A-twx,twx,Turkic (West Xorasan),9A,The Velar Nasal,No initial velar nasal,Potseluevskij-1997a[220],
9A-ulc,ulc,Ulcha,9A,The Velar Nasal,Initial velar nasal,Cincius-1975[668],
9A-umu,umu,Umaua,9A,The Velar Nasal,No velar nasal,Durbin-and-Seijas-1972,
9A-urm,urm,Urum,9A,The Velar Nasal,No initial velar nasal,Muratov-1997[453],
9A-ynm,ynm,Yanomámi,9A,The Velar Nasal,No velar nasal,Aikhenvald-and-Dixon-1999[346],
9A-yug,yug,Yugh,9A,The Velar Nasal,No initial velar nasal,Verner-1997,
9A-yrc,yrc,Yuracare,9A,The Velar Nasal,No velar nasal,Suarez-1973[143],
9A-yta,yta,Yurt Tatar,9A,The Velar Nasal,No velar nasal,Arslanov-1997c[508],
9A-zno,zno,Zulu (Northern),9A,The Velar Nasal,Initial velar nasal,Doke-1953,
9A-zso,zso,Zulu (Southern),9A,The Velar Nasal,No velar nasal,Doke-1953,
9A-axv,axv,Akhvakh,9A,The Velar Nasal,No velar nasal,Gudava-1964[13],
9A-cmk,cmk,Chemakum,9A,The Velar Nasal,No velar nasal,Swadesh-1955[60],
9A-hrs,hrs,Harsusi,9A,The Velar Nasal,No velar nasal,Lonnet-and-Simeone-Senelle-1997[349],
9A-ksi,ksi,Ksingmul,9A,The Velar Nasal,Initial velar nasal,Pogibenko-and-Buy-1990[36],
9A-mkw,mkw,Máku,9A,The Velar Nasal,No velar nasal,Aikhenvald-and-Dixon-1999[362],
9A-neg,neg,Negidal,9A,The Velar Nasal,Initial velar nasal,Cincius-1997a,
9A-orl,orl,Orokolo,9A,The Velar Nasal,No velar nasal,Brown-1988c,
9A-tof,tof,Tofa,9A,The Velar Nasal,No initial velar nasal,Rassadin-1997[376],
9A-aso,aso,Altai (Southern),9A,The Velar Nasal,No initial velar nasal,Baskakov-1997a[184],
9A-alu,alu,Alutor,9A,The Velar Nasal,Initial velar nasal,"Skorik-1986[79, 85]",
9A-aho,aho,Arapaho,9A,The Velar Nasal,No velar nasal,Salzmann-1956[49],
