ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
82A-brl,brl,Baragaunle,82A,Order of Subject and Verb,SV,Kretschmar-1995[ 193],
82A-buy,buy,Buli (in Ghana),82A,Order of Subject and Verb,SV,,
82A-dhm,dhm,Dhimal,82A,Order of Subject and Verb,SV,Cooper-1999[ 30],
82A-krz,krz,Kryz,82A,Order of Subject and Verb,SV,Authier-2004[222],
82A-ora,ora,Emai,82A,Order of Subject and Verb,SV,Schaefer-and-Egbokhare-2007[9],
82A-rag,rag,Raga,82A,Order of Subject and Verb,SV,Crowley-2002c[ 634],
82A-tod,tod,Tod,82A,Order of Subject and Verb,SV,Sharma-1989b[ 336],
82A-xas,xas,Xasonga,82A,Order of Subject and Verb,SV,Koite-Herschel-1981-1982[48],
82A-zhn,zhn,Zhuang (Northern),82A,Order of Subject and Verb,SV,"Yongxian-Luo-2008[ 326, 347]",
82A-ina,ina,Inanwatan,82A,Order of Subject and Verb,SV,de-Vries-1996[ 52-53],
82A-klg,klg,Kulung,82A,Order of Subject and Verb,SV,Tolsma-1999[ passim],
82A-les,les,Lese,82A,Order of Subject and Verb,SV,Vorbichler-1965[ 155],
82A-lgt,lgt,Logoti,82A,Order of Subject and Verb,SV,Tucker-1967[ 189-190],
82A-mij,mij,Miju,82A,Order of Subject and Verb,SV,Das-Gupta-1977[8],
82A-nif,nif,Niuafo'ou,82A,Order of Subject and Verb,VS,Early-2002[ 858],
82A-tpt,tpt,Tapieté,82A,Order of Subject and Verb,SV,Gonzalez-2005[ 206ff],
82A-xar,xar,Xârâcùù,82A,Order of Subject and Verb,SV,,
82A-zzo,zzo,Zapotec (Zoogocho),82A,Order of Subject and Verb,VS,Sonnenschein-2005[ 113],
82A-anu,anu,Anufo,82A,Order of Subject and Verb,SV,Smye-2004[ 49],
82A-eip,eip,Eipo,82A,Order of Subject and Verb,SV,Heeschen-1998[ 287],
82A-har,har,Haruai,82A,Order of Subject and Verb,SV,,
82A-isi,isi,Isirawa,82A,Order of Subject and Verb,SV,Oguri-1985[143],
82A-mrq,mrq,Marquesan,82A,Order of Subject and Verb,VS,Lynch-2002a[ 874],
82A-ndi,ndi,Ngbandi,82A,Order of Subject and Verb,SV,"Toronzoni-1989[ 494, 503]",
