ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
131A-fum,fum,Fulfulde (Maasina),131A,Numeral Bases,Hybrid vigesimal-decimal,Breedveld-1995[487-489],
131A-eip,eip,Eipo,131A,Numeral Bases,Extended body-part system,Heeschen-1998[214],
131A-har,har,Haruai,131A,Numeral Bases,Extended body-part system,Comrie-1999[91],
131A-nsz,nsz,Nahuatl (Sierra de Zacapoaxtla),131A,Numeral Bases,Hybrid vigesimal-decimal,Robinson-1966[159];Yasugi-1995[253],
131A-emc,emc,Embera Chami,131A,Numeral Bases,Other base,Aguirre-Licht-1999[83],
131A-sou,sou,Sorbian (Upper),131A,Numeral Bases,Decimal,Schuster-Sewc-1996[142],
131A-mxa,mxa,Mixtec (Atatlahuca),131A,Numeral Bases,Hybrid vigesimal-decimal,Yasugi-1995[273],
131A-cuu,cuu,Chuukese,131A,Numeral Bases,Decimal,Dyen-1965[57],
131A-tsz,tsz,Tsez,131A,Numeral Bases,Hybrid vigesimal-decimal,,
131A-leg,leg,Lega,131A,Numeral Bases,Decimal,Botne-2003[123],
131A-gol,gol,Gola,131A,Numeral Bases,Hybrid vigesimal-decimal,Westermann-1921a[39],
131A-bas,bas,Basaá,131A,Numeral Bases,Decimal,Hyman-2003[255-282],
131A-dam,dam,Damana,131A,Numeral Bases,Decimal,Trillos-Amaya-1999a[87-88],
131A-sap,sap,Sapuan,131A,Numeral Bases,Decimal,Jacq-and-Sidwell-1999[29],
131A-mmb,mmb,Mangap-Mbula,131A,Numeral Bases,Pure vigesimal,Bugenhagen-1995[147-148],
131A-hlp,hlp,Hualapai,131A,Numeral Bases,Decimal,Watahomigie-et-al-2001[454],
131A-hpd,hpd,Hup,131A,Numeral Bases,Restricted,,
131A-yct,yct,Yucatec,131A,Numeral Bases,Pure vigesimal,Tozzer-1921[99-103],
131A-tug,tug,Tuareg (Ahaggar),131A,Numeral Bases,Decimal,Penchoen-1973b[24],
131A-acg,acg,Achagua,131A,Numeral Bases,Restricted,Wilson-and-Levinsohn-1992[44],
131A-abm,abm,Alabama,131A,Numeral Bases,Decimal,Sylestine-et-al-1993[365],
131A-gur,gur,Gurung,131A,Numeral Bases,Decimal,Matisoff-1997[51],
131A-adk,adk,Andoke,131A,Numeral Bases,Pure vigesimal,Landaburu-1979[137-138],
131A-khl,khl,Khalaj,131A,Numeral Bases,Decimal,Doerfer-1988[111-113],
131A-pme,pme,Pomo (Eastern),131A,Numeral Bases,Decimal,McLendon-1975[129-130],
131A-twe,twe,Tarahumara (Western),131A,Numeral Bases,Decimal,Yasugi-1995[244-245],
131A-xoo,xoo,!Xóõ,131A,Numeral Bases,Restricted,,
131A-msl,msl,Masalit,131A,Numeral Bases,Decimal,Edgar-1989[67-69],
131A-noo,noo,Noon,131A,Numeral Bases,Decimal,Soukka-2000[92-94],
131A-kan,kan,Kana,131A,Numeral Bases,Pure vigesimal,Ikoro-1996[85-87],
131A-taw,taw,Tawala,131A,Numeral Bases,Pure vigesimal,Ezard-1997[80-81],
131A-bae,bae,Baré,131A,Numeral Bases,Restricted,Aikhenvald-1996[21],
131A-sah,sah,Sahu,131A,Numeral Bases,Decimal,Visser-and-Voorhoeve-1987[46-50],
131A-wsk,wsk,Waskia,131A,Numeral Bases,Restricted,Ross-and-Paol-1978[60],
131A-tam,tam,Tamang (Eastern),131A,Numeral Bases,Pure vigesimal,Matisoff-1997[52],
131A-ara,ara,Arawak,131A,Numeral Bases,Pure vigesimal,Pet-1987[87-88],
131A-goa,goa,Goajiro,131A,Numeral Bases,Decimal,Olza-Zubiri-and-Jusayu-1985[43-44],
131A-dsh,dsh,Danish,131A,Numeral Bases,Hybrid vigesimal-decimal,Allan-et-al-1995[123],
131A-hup,hup,Hupa,131A,Numeral Bases,Decimal,"Sapir-and-Golla-2001[603, 867-868]",
