ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
75A-tor,tor,Toratán,75A,Epistemic Possibility,Other,Himmelmann-and-Wolf-1999[62],
75A-kui,kui,Kui (in India),75A,Epistemic Possibility,Verbal constructions,Winfield-1928[125],
75A-far,far,Faroese,75A,Epistemic Possibility,Verbal constructions,"Barnes-1994[205, 210f.]",
75A-smt,smt,Sahaptin (Umatilla),75A,Epistemic Possibility,Other,,
75A-rka,rka,Romani (Kalderash),75A,Epistemic Possibility,Verbal constructions,,
75A-bal,bal,Balinese,75A,Epistemic Possibility,Other,"Barber-1977[227, 257, 329]",
75A-mdg,mdg,Mundang,75A,Epistemic Possibility,Verbal constructions,"Elders-2000[327, 330, 373-375]",
75A-vot,vot,Votic,75A,Epistemic Possibility,Affixes on verbs,Ariste-1997[74],
75A-bet,bet,Bété,75A,Epistemic Possibility,Verbal constructions,Koopman-1984[44],
75A-zya,zya,Zapotec (Yatzachi),75A,Epistemic Possibility,Affixes on verbs,Butler-1980[167],
75A-nma,nma,Naga (Mao),75A,Epistemic Possibility,Affixes on verbs,"Giridhar-1994[308f., 335-339]",
75A-teo,teo,Teop,75A,Epistemic Possibility,Other,Reinig-2000[51],
75A-mcd,mcd,Macedonian,75A,Epistemic Possibility,Verbal constructions,,
75A-pba,pba,Pima Bajo,75A,Epistemic Possibility,Affixes on verbs,Estrada-Fernandez-1996[34f.],
75A-ngt,ngt,Naga (Tangkhul),75A,Epistemic Possibility,Affixes on verbs,Arokianathan-1987[80f.],
75A-fua,fua,Fula (Cameroonian),75A,Epistemic Possibility,Affixes on verbs,Arnott-1970[274f.],
75A-meh,meh,Mehri,75A,Epistemic Possibility,Verbal constructions,Wagner-1953[108],
75A-tvl,tvl,Tuvaluan,75A,Epistemic Possibility,Other,Besnier-2000[505],
75A-slo,slo,Slovene,75A,Epistemic Possibility,Other,Derbyshire-1993[109],
75A-lin,lin,Lingala,75A,Epistemic Possibility,Other,,
75A-kol,kol,Kolami,75A,Epistemic Possibility,Verbal constructions,Subrahmanyam-1998[320f.],
75A-mie,mie,Mien,75A,Epistemic Possibility,Other,Court-1985[219],
75A-kam,kam,Kambera,75A,Epistemic Possibility,Verbal constructions,"Klamer-1998[119, 121]",
75A-mai,mai,Maithili,75A,Epistemic Possibility,Affixes on verbs,Yadav-1996[162f.],
75A-mlt,mlt,Maltese,75A,Epistemic Possibility,Verbal constructions,Borg-and-Azzopardi-Alexander-1997[241],
75A-sno,sno,Saami (Northern),75A,Epistemic Possibility,Verbal constructions,Bartens-1989[295f.],
75A-tvo,tvo,Tatar,75A,Epistemic Possibility,Other,Poppe-1968[67f.],
75A-udh,udh,Udihe,75A,Epistemic Possibility,Affixes on verbs,"Nikolaeva-and-Tolskaya-2001[224f., 271]",
75A-tja,tja,Tiipay (Jamul),75A,Epistemic Possibility,Affixes on verbs,Miller-2001[187],
75A-amr,amr,Arabic (Moroccan),75A,Epistemic Possibility,Verbal constructions,Caubet-1993[108-112],
75A-bto,bto,Batak (Toba),75A,Epistemic Possibility,Other,"Cumming-1984[19, 33]",
75A-dsh,dsh,Danish,75A,Epistemic Possibility,Verbal constructions,Allan-et-al-1995[291-294],
75A-so,so,So,75A,Epistemic Possibility,Other,Carlin-1993[102],
75A-ctl,ctl,Catalan,75A,Epistemic Possibility,Verbal constructions,Hualde-1992[325],
75A-por,por,Portuguese,75A,Epistemic Possibility,Verbal constructions,Gartner-1998[46],
75A-bab,bab,Babungo,75A,Epistemic Possibility,Other,Schaub-1985[229],
75A-qaw,qaw,Qawasqar,75A,Epistemic Possibility,Other,Clairis-1985[461],
75A-arg,arg,Arabic (Gulf),75A,Epistemic Possibility,Verbal constructions,Holes-1990[201f.],
75A-mns,mns,Mansi,75A,Epistemic Possibility,Affixes on verbs,Keresztes-1998[419],
75A-mna,mna,Muna,75A,Epistemic Possibility,Other,van-den-Berg-1989b[189],
75A-scr,scr,Serbian-Croatian,75A,Epistemic Possibility,Verbal constructions,Kalogjera-1982[80-86],
75A-tin,tin,Tinrin,75A,Epistemic Possibility,Other,Osumi-1995[95],
75A-uzb,uzb,Uzbek,75A,Epistemic Possibility,Other,Boeschoten-1998[373f.],
75A-kty,kty,Khanty,75A,Epistemic Possibility,Other,Nikolaeva-1999[61],
75A-mym,mym,Malayalam,75A,Epistemic Possibility,Verbal constructions,"Andronov-1996[180f., 185]",
75A-tel,tel,Telugu,75A,Epistemic Possibility,Verbal constructions,Subrahmanyam-1974[154-157];Krishnamurti-1998[220f.],
75A-tgr,tgr,Tigré,75A,Epistemic Possibility,Other,Raz-1983[88],
75A-tuv,tuv,Tuvan,75A,Epistemic Possibility,Verbal constructions,"Anderson-and-Harrison-1999[53, 67f.]",
75A-mok,mok,Mokilese,75A,Epistemic Possibility,Verbal constructions,Harrison-1976[177f.],
75A-sel,sel,Selknam,75A,Epistemic Possibility,Affixes on verbs,"Najlis-1973[8, 10, 14]",
75A-akn,akn,Akan,75A,Epistemic Possibility,Other,"Christaller-1875[89, 138]",
75A-bri,bri,Bribri,75A,Epistemic Possibility,Affixes on verbs,Constenla-Umana-and-Margery-Pena-1979[107],
