ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
3A-cve,cve,Chuave,3A,Consonant-Vowel Ratio,Moderately low,Thurman-1970,
3A-nbk,nbk,Natügu,3A,Consonant-Vowel Ratio,Average,Wurm-1972b,
3A-ach,ach,Aché,3A,Consonant-Vowel Ratio,Moderately low,Susnik-1974,
3A-aiz,aiz,Aizi,3A,Consonant-Vowel Ratio,Moderately low,Herault-1971,
3A-brb,brb,Bariba,3A,Consonant-Vowel Ratio,Moderately low,Welmers-1952a,
3A-koh,koh,Kohumono,3A,Consonant-Vowel Ratio,Average,Cook-1969b,
3A-mrn,mrn,Maranao,3A,Consonant-Vowel Ratio,Average,McKaughan-1958;McKaughan-and-Macaraya-1967,
3A-mxm,mxm,Mixtec (Molinos),3A,Consonant-Vowel Ratio,Average,Hunter-and-Pike-1969,
3A-sab,sab,Sa'ban,3A,Consonant-Vowel Ratio,Moderately low,Clayre-1973,
3A-tks,tks,Teke (Southern),3A,Consonant-Vowel Ratio,Average,Paulian-1975,
3A-wdo,wdo,Western Desert (Ooldea),3A,Consonant-Vowel Ratio,Moderately high,Douglas-1964;Douglas-1955,
3A-wuc,wuc,Wu (Changzhou),3A,Consonant-Vowel Ratio,Average,Chao-1970,
3A-ald,ald,Alladian,3A,Consonant-Vowel Ratio,Average,Dumestre-and-Duponchel-1971;Duponchel-1971,
3A-bki,bki,Bakairí,3A,Consonant-Vowel Ratio,Moderately low,Wheatley-1969;Wheatley-1973,
3A-brd,brd,Bardi,3A,Consonant-Vowel Ratio,Average,Metcalfe-1971,
3A-bee,bee,Beembe,3A,Consonant-Vowel Ratio,Average,Jacquot-1962;Jacquot-1981,
3A-bbf,bbf,Bobo Madaré (Northern),3A,Consonant-Vowel Ratio,Average,Morse-1976;Bris-and-Prost-1981,
3A-brw,brw,Bru (Western),3A,Consonant-Vowel Ratio,Low,Thongkum-1979,
3A-cad,cad,Caddo,3A,Consonant-Vowel Ratio,High,Chafe-1979;Chafe-1976,
3A-dad,dad,Dadibi,3A,Consonant-Vowel Ratio,Moderately low,MacDonald-1973,
