ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
28A-hmi,hmi,Huitoto (Minica),28A,Case Syncretism,No syncretism,Minor-et-al-1982,
28A-ccp,ccp,Cocopa,28A,Case Syncretism,No syncretism,Crawford-1966[103-17],
28A-qaw,qaw,Qawasqar,28A,Case Syncretism,No case marking,Clairis-1985,
28A-sel,sel,Selknam,28A,Case Syncretism,No case marking,Najlis-1973,
28A-bri,bri,Bribri,28A,Case Syncretism,No case marking,Pittier-de-Fabrega-1898,
28A-kon,kon,Kongo,28A,Case Syncretism,No case marking,Carter-and-Makoondekwa-1987,
28A-lak,lak,Lak,28A,Case Syncretism,Core cases only,Xajdakov-2001;Zhirkov-1955,
28A-eka,eka,Ekari,28A,Case Syncretism,No case marking,Drabbe-1952,
28A-ham,ham,Hamtai,28A,Case Syncretism,No case marking,Oates-and-Oates-1968,
28A-mrd,mrd,Marind,28A,Case Syncretism,No case marking,Drabbe-1955,
28A-abi,abi,Abipón,28A,Case Syncretism,No case marking,Najlis-1966,
28A-mab,mab,Maba,28A,Case Syncretism,No case marking,Tucker-and-Bryan-1966,
28A-una,una,Una,28A,Case Syncretism,No syncretism,Louwerse-1988,
28A-yuc,yuc,Yuchi,28A,Case Syncretism,No case marking,Wagner-1933-1938,
28A-pso,pso,Pomo (Southeastern),28A,Case Syncretism,No syncretism,Moshinsky-1974,
28A-snt,snt,Sentani,28A,Case Syncretism,No case marking,Cowan-1965,
28A-krb,krb,Kiribati,28A,Case Syncretism,No case marking,Groves-et-al-1985,
28A-ypk,ypk,Yup'ik (Central),28A,Case Syncretism,Core cases only,Jacobson-1995,
28A-fur,fur,Fur,28A,Case Syncretism,No case marking,Jakobi-1990,
28A-ker,ker,Kera,28A,Case Syncretism,No case marking,Ebert-1979,
28A-lad,lad,Ladakhi,28A,Case Syncretism,No syncretism,Koshal-1979,
28A-lep,lep,Lepcha,28A,Case Syncretism,No syncretism,Mainwaring-1876,
28A-tli,tli,Tlingit,28A,Case Syncretism,No case marking,Swanton-1911a,
28A-wam,wam,Wambaya,28A,Case Syncretism,Core cases only,Nordlinger-1998,
28A-bam,bam,Bambara,28A,Case Syncretism,No case marking,Kastenholz-1998,
28A-kyl,kyl,Kayah Li (Eastern),28A,Case Syncretism,No case marking,Solnit-1997,
28A-nti,nti,Ngiti,28A,Case Syncretism,No case marking,Kutsch-Lojenga-1994,
28A-car,car,Carib,28A,Case Syncretism,No case marking,Hoff-1968,
28A-tsi,tsi,Tsimshian (Coast),28A,Case Syncretism,No case marking,Dunn-1995,
28A-tun,tun,Tunica,28A,Case Syncretism,No case marking,Haas-1940,
28A-sue,sue,Suena,28A,Case Syncretism,Core cases only,Wilson-1974,
28A-mku,mku,Maranungku,28A,Case Syncretism,No case marking,Tryon-1970b,
28A-mrl,mrl,Murle,28A,Case Syncretism,Core cases only,Lyth-1971,
