ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
69A-dhm,dhm,Dhimal,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Cooper-1999[ 31],
69A-mtk,mtk,Matukar,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,ZGraggen-1969[290],
69A-yrm,yrm,Yurimangí,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Rivet-1942[ 32-33],
69A-zhn,zhn,Zhuang (Northern),69A,Position of Tense-Aspect Affixes,No tense-aspect inflection,Yongxian-Luo-2008[ 343-345],
69A-bau,bau,Bau,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,ZGraggen-1969[301],
69A-cnm,cnm,Canamarí,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,,
69A-ina,ina,Inanwatan,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,de-Vries-1996[ 37-38],
69A-les,les,Lese,69A,Position of Tense-Aspect Affixes,Tense-aspect prefixes,Vorbichler-1965[ 128ff],
69A-mij,mij,Miju,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Das-Gupta-1977[ 25-26],
69A-mkr,mkr,Mikarew,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,ZGraggen-1969[276],
69A-shd,shd,Sherdukpen,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Dondrup-1988[19-20],
69A-tpt,tpt,Tapieté,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Gonzalez-2005[ 154],
69A-xar,xar,Xârâcùù,69A,Position of Tense-Aspect Affixes,No tense-aspect inflection,,
69A-zzo,zzo,Zapotec (Zoogocho),69A,Position of Tense-Aspect Affixes,Tense-aspect prefixes,Sonnenschein-2005[ 54ff],
69A-alc,alc,Allentiac,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Adelaar-2004[546],
69A-anu,anu,Anufo,69A,Position of Tense-Aspect Affixes,Mixed type,Smye-2004[ 6-8],
69A-boi,boi,Boiken,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Laycock-1965a[107],
69A-eip,eip,Eipo,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Heeschen-1998[ 223],
69A-grs,grs,Garus,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,"ZGraggen-1969[287, 301]",
69A-har,har,Haruai,69A,Position of Tense-Aspect Affixes,Tense-aspect suffixes,,
