ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
101A-ina,ina,Inanwatan,101A,Expression of Pronominal Subjects,Subject affixes on verb,de-Vries-1996[ 36],
101A-buw,buw,Bulu,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Bates-1904[passim],
101A-eip,eip,Eipo,101A,Expression of Pronominal Subjects,Subject affixes on verb,"Heeschen-1998[ 149, 223]",
101A-luy,luy,Luyia,101A,Expression of Pronominal Subjects,Subject affixes on verb,Appleby-1961[passim],
101A-cup,cup,Cupeño,101A,Expression of Pronominal Subjects,Mixed,Hill-2005[ 77],
101A-jwr,jwr,Jarawara,101A,Expression of Pronominal Subjects,Mixed,Dixon-2003[165-167],
101A-lul,lul,Lule,101A,Expression of Pronominal Subjects,Subject affixes on verb,Adelaar-2004[passim],
101A-dun,dun,Duna,101A,Expression of Pronominal Subjects,Optional pronouns in subject position,,
101A-eko,eko,Ekoti,101A,Expression of Pronominal Subjects,Subject affixes on verb,Schadeberg-and-Mucanheia-2000[passim],
101A-mcc,mcc,Mochica,101A,Expression of Pronominal Subjects,Subject affixes on verb,Adelaar-2004[337],
101A-rim,rim,Rimi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Olson-1964[96],
101A-skm,skm,Sukuma,101A,Expression of Pronominal Subjects,Subject affixes on verb,Batibo-1985[passim],
101A-tet,tet,Tetela,101A,Expression of Pronominal Subjects,Subject affixes on verb,Wetshemongo-1996[ 412];Jacobs-1964[passim],
101A-tsn,tsn,Tsonga,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Baumbach-1987[160],
101A-bik,bik,Biak,101A,Expression of Pronominal Subjects,Subject affixes on verb,van-den-Heuvel-2006[ 106],
101A-big,big,Binga,101A,Expression of Pronominal Subjects,Subject affixes on verb,Santandrea-1956[29-30],
101A-mmw,mmw,Mambwe,101A,Expression of Pronominal Subjects,Subject affixes on verb,London-Missionary-Society-1962[12],
101A-mir,mir,Miriwung,101A,Expression of Pronominal Subjects,Subject affixes on verb,"Kofod-1978[178, 179, 194]",
101A-mbo,mbo,Monumbo,101A,Expression of Pronominal Subjects,Subject affixes on verb,Vormann-and-Scharfenberger-1914[50],
101A-pog,pog,Pogoro,101A,Expression of Pronominal Subjects,Subject affixes on verb,Hendle-1907[35],
101A-nke,nke,Nkem,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Sibomana-1986[271],
101A-tki,tki,Tuki,101A,Expression of Pronominal Subjects,Subject affixes on verb,Biloa-1997[26],
101A-wlm,wlm,Walmatjari,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Hudson-1978[56],
101A-mhu,mhu,Mbalanhu,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Fourie-1993[passim],
101A-wya,wya,Wyandot,101A,Expression of Pronominal Subjects,Subject affixes on verb,Kopris-2001[147],
101A-ayr,ayr,Ayoreo,101A,Expression of Pronominal Subjects,Subject affixes on verb,Adelaar-2004[passim],
101A-bsr,bsr,Basari,101A,Expression of Pronominal Subjects,Subject affixes on verb,Ferry-1981[58],
101A-bol,bol,Bolia,101A,Expression of Pronominal Subjects,Subject affixes on verb,Mamet-1960[43],
101A-des,des,Desano,101A,Expression of Pronominal Subjects,Subject affixes on verb,Miller-1999[ 64],
101A-ebi,ebi,Ebira,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Adive-1989[77ff],
101A-mkd,mkd,Makonde,101A,Expression of Pronominal Subjects,Subject affixes on verb,Harries-1940[106],
101A-sgl,sgl,Sengele,101A,Expression of Pronominal Subjects,Subject affixes on verb,Mangulu-2001[passim],
101A-wrb,wrb,Warrnambool,101A,Expression of Pronominal Subjects,Subject clitics on variable host,Blake-2003[38],
101A-yao,yao,Yao (in Malawi),101A,Expression of Pronominal Subjects,Subject affixes on verb,Whiteley-1966[56],
101A-cln,cln,Cholón,101A,Expression of Pronominal Subjects,Subject affixes on verb,Adelaar-2004[passim];Alexander-Bakkerus-2005[ 197ff],
101A-esm,esm,Esmeraldeño,101A,Expression of Pronominal Subjects,Subject affixes on verb,Adelaar-2004[156],
101A-lmb,lmb,Lamba,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Doke-1922[43],
101A-mbl,mbl,Mbole,101A,Expression of Pronominal Subjects,Subject affixes on verb,De-Rop-1971[56],
101A-rru,rru,Runyoro-Rutooro,101A,Expression of Pronominal Subjects,Subject affixes on verb,Rubongoya-1999[passim],
101A-aja,aja,Aja,101A,Expression of Pronominal Subjects,Subject affixes on verb,Santandrea-1976[146],
101A-dhi,dhi,Dhivehi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Cain-and-Gair-2000[37],
101A-gwo,gwo,Gworok,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Adwiraah-1989[passim],
101A-heh,heh,Hehe,101A,Expression of Pronominal Subjects,Subject affixes on verb,Velten-1899a[179],
101A-luc,luc,Lucazi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Fleisch-2001[117],
101A-nnd,nnd,Nend,101A,Expression of Pronominal Subjects,Subject affixes on verb,Harris-1990[119],
101A-tsz,tsz,Tsez,101A,Expression of Pronominal Subjects,Subject affixes on verb,Alekseev-and-Radzhabov-2004[ 149],
101A-blz,blz,Balanta,101A,Expression of Pronominal Subjects,Subject affixes on verb,Fudemann-1999[55],
101A-kby,kby,Kabiyé,101A,Expression of Pronominal Subjects,Optional pronouns in subject position,Lebikaza-1999[456],
101A-kdw,kdw,Kadiwéu,101A,Expression of Pronominal Subjects,Subject affixes on verb,Sandalo-1997[36],
101A-lgi,lgi,Langi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Seidel-1898[399],
101A-leg,leg,Lega,101A,Expression of Pronominal Subjects,Subject affixes on verb,Meeussen-1971[438],
101A-ngj,ngj,Ngadjumaja,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,von-Brandenstein-1980[16],
101A-ory,ory,Orya,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Fields-1997[263],
101A-tiv,tiv,Tiv,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Abraham-1940[25],
101A-wir,wir,Wirangu,101A,Expression of Pronominal Subjects,Optional pronouns in subject position,Hercus-1999a[96],
101A-bob,bob,Bobangi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Whitehead-1899[60],
101A-kyr,kyr,Karkar-Yuri,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Rigden-nd-a[passim],
101A-kga,kga,Kinga,101A,Expression of Pronominal Subjects,Subject affixes on verb,Wolff-1905[passim],
101A-kwz,kwz,Kwaza,101A,Expression of Pronominal Subjects,Subject affixes on verb,van-der-Voort-2004[ passim],
101A-mua,mua,Makua,101A,Expression of Pronominal Subjects,Subject affixes on verb,Woodward-1926[281],
101A-nal,nal,Nalik,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Volker-1998[46],
101A-shm,shm,Shambala,101A,Expression of Pronominal Subjects,Subject affixes on verb,Besha-1993[passim],
101A-ven,ven,Venda,101A,Expression of Pronominal Subjects,Subject affixes on verb,Poulos-1990[98],
101A-wai,wai,Wai Wai,101A,Expression of Pronominal Subjects,Subject affixes on verb,Hawkins-1998[81ff.],
101A-amx,amx,Anamuxra,101A,Expression of Pronominal Subjects,Subject affixes on verb,Ingram-2001,
101A-bas,bas,Basaá,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Schurle-1912[passim],
101A-bem,bem,Bemba,101A,Expression of Pronominal Subjects,Subject affixes on verb,van-Sambeek-1955[43],
101A-kgr,kgr,Kagulu,101A,Expression of Pronominal Subjects,Subject affixes on verb,Last-1886[57],
101A-mtb,mtb,Matuumbi,101A,Expression of Pronominal Subjects,Subject affixes on verb,Odden-1996[71],
101A-mus,mus,Mussau,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Ross-2002b[ 161],
101A-nse,nse,Nsenga,101A,Expression of Pronominal Subjects,Subject affixes on verb,Ranger-1928[63],
101A-nyn,nyn,Nyigina,101A,Expression of Pronominal Subjects,Subject affixes on verb,"Stokes-1982[39, 233]",
101A-pam,pam,Pame,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,"Manrique-1967[344, 347]",
101A-ron,ron,Ron,101A,Expression of Pronominal Subjects,Subject pronouns in different position,Seibert-1998[passim],
101A-snn,snn,Soninke,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Diagana-1995[passim],
101A-wth,wth,Wathawurrung,101A,Expression of Pronominal Subjects,Subject clitics on variable host,Blake-et-al-1998a[77],
101A-bbl,bbl,Babole,101A,Expression of Pronominal Subjects,Subject affixes on verb,Leitch-1994[191],
101A-bku,bku,Bakueri,101A,Expression of Pronominal Subjects,Subject affixes on verb,Kagaya-1992[31],
101A-gaa,gaa,Gaagudju,101A,Expression of Pronominal Subjects,Subject affixes on verb,Harvey-2002[207],
101A-ige,ige,Igede,101A,Expression of Pronominal Subjects,Subject affixes on verb,Bergman-1981[9],
101A-kae,kae,Kaki Ae,101A,Expression of Pronominal Subjects,Subject affixes on verb,Clifton-1997[34],
101A-nya,nya,Nyawaygi,101A,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Dixon-1983[passim],
101A-sob,sob,Sobei,101A,Expression of Pronominal Subjects,Subject affixes on verb,Sterner-and-Ross-2002[ 178],
101A-srb,srb,Sorbian,101A,Expression of Pronominal Subjects,Subject affixes on verb,Stone-1993[656],
101A-toz,toz,Tonga (in Zambia),101A,Expression of Pronominal Subjects,Subject affixes on verb,Collins-1962[32],
101A-wed,wed,Wedau,101A,Expression of Pronominal Subjects,Subject pronouns in different position,King-1901a[11],
