ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
127A-npi,npi,Nigerian Pidgin,127A,Reason Clauses,Balanced,Faraclas-1996[43],
127A-bdc,bdc,Berbice Dutch Creole,127A,Reason Clauses,Deranked,Kouwenberg-1994[403-7],
127A-tpi,tpi,Tok Pisin,127A,Reason Clauses,Balanced,"Wurm-and-Muhlhausler-1985[371, 403-7]",
127A-ho,ho,Ho,127A,Reason Clauses,Balanced/deranked,Deeney-1975[76-84],
127A-thk,thk,Thakali,127A,Reason Clauses,Balanced/deranked,Georg-1996[220],
127A-hlp,hlp,Hualapai,127A,Reason Clauses,Deranked,Watahomigie-et-al-2001[425-6],
127A-way,way,Wayampi,127A,Reason Clauses,Balanced/deranked,Grenand-1980[85-9],
127A-ngt,ngt,Naga (Tangkhul),127A,Reason Clauses,Deranked,"Arokianathan-1987[116, 123-4]",
127A-fua,fua,Fula (Cameroonian),127A,Reason Clauses,Balanced,Arnott-1970[38],
127A-sng,sng,Sinaugoro,127A,Reason Clauses,Balanced,Tauberschmidt-1999[78-9],
127A-gim,gim,Gimira,127A,Reason Clauses,Deranked,Breeze-1990[48-4],
127A-any,any,Anywa,127A,Reason Clauses,Balanced,Reh-1996[418-9],
127A-emb,emb,Emberá (Northern),127A,Reason Clauses,Balanced,Mortensen-1999[124-5],
127A-tvl,tvl,Tuvaluan,127A,Reason Clauses,Balanced/deranked,"Besnier-2000[50-2, 85-6, 94-6, 106]",
127A-kmj,kmj,Karimojong,127A,Reason Clauses,Balanced/deranked,"Novelli-1985[176-81, 507]",
127A-ute,ute,Ute,127A,Reason Clauses,Deranked,Southern-Ute-Tribe-1980[253-6],
127A-lnd,lnd,Linda,127A,Reason Clauses,Balanced,Cloarec-Heiss-1986[513-4],
127A-vai,vai,Vai,127A,Reason Clauses,Deranked,"Welmers-1976[109, 128-9]",
127A-noo,noo,Noon,127A,Reason Clauses,Balanced,Soukka-2000[225-6],
127A-kan,kan,Kana,127A,Reason Clauses,Balanced,Ikoro-1996[284],
127A-per,per,Pero,127A,Reason Clauses,Balanced,"Frajzyngier-1989[257-8, 269-75]",
127A-udh,udh,Udihe,127A,Reason Clauses,Deranked,"Nikolaeva-and-Tolskaya-2001[725-7, 743, 747]",
127A-res,res,Resígaro,127A,Reason Clauses,Deranked,"Allin-1976[310-1, 344, 356-7]",
127A-wma,wma,West Makian,127A,Reason Clauses,Balanced,Voorhoeve-1982[33],
127A-abu,abu,Abun,127A,Reason Clauses,Balanced,Berry-and-Berry-1999[208-9],
127A-djp,djp,Djapu,127A,Reason Clauses,Balanced/deranked,Morphy-1983[128-33],
127A-arg,arg,Arabic (Gulf),127A,Reason Clauses,Balanced/deranked,"Holes-1990[26-8, 34-5]",
127A-nun,nun,Nung (in Vietnam),127A,Reason Clauses,Balanced,Saul-and-Wilson-1980[103],
127A-mna,mna,Muna,127A,Reason Clauses,Balanced,van-den-Berg-1989b[262],
127A-tin,tin,Tinrin,127A,Reason Clauses,Balanced,"Osumi-1995[264, 277-8]",
127A-lim,lim,Limbu,127A,Reason Clauses,Balanced/deranked,"van-Driem-1987[225-38, 149-58]",
127A-miy,miy,Miya,127A,Reason Clauses,Balanced,Schuh-1998[398],
127A-mym,mym,Malayalam,127A,Reason Clauses,Balanced/deranked,"Asher-and-Kumari-1997[44, 85-7]",
127A-mok,mok,Mokilese,127A,Reason Clauses,Balanced,Harrison-and-Albert-1976[262-3],
127A-ret,ret,Retuarã,127A,Reason Clauses,Deranked,Strom-1992[172-5],
127A-ijo,ijo,Ijo (Kolokuma),127A,Reason Clauses,Deranked,Williamson-1965[63-6],
127A-akn,akn,Akan,127A,Reason Clauses,Balanced/deranked,Balmer-and-Grant-1929[154-61],
127A-tsh,tsh,Tümpisa Shoshone,127A,Reason Clauses,Deranked,Dayley-1989a[87-8],
127A-mhi,mhi,Marathi,127A,Reason Clauses,Balanced/deranked,Pandharipande-1997[112-5],
127A-tzu,tzu,Tzutujil,127A,Reason Clauses,Balanced,Dayley-1985[369-70],
127A-die,die,Diegueño (Mesa Grande),127A,Reason Clauses,Deranked,Langdon-1970[178-9],
127A-pan,pan,Panjabi,127A,Reason Clauses,Balanced/deranked,Bhatia-1993[75-6],
127A-ham,ham,Hamtai,127A,Reason Clauses,Deranked,"Oates-and-Oates-1968[107, 122]",
127A-ace,ace,Acehnese,127A,Reason Clauses,Balanced,Durie-1985[258],
127A-kas,kas,Kashmiri,127A,Reason Clauses,Balanced/deranked,Wali-and-Koul-1997[73-4],
127A-ita,ita,Italian,127A,Reason Clauses,Balanced/deranked,,
127A-tml,tml,Tamil,127A,Reason Clauses,Deranked,Asher-1985[43],
127A-krb,krb,Kiribati,127A,Reason Clauses,Balanced,Groves-et-al-1985[100],
127A-som,som,Somali,127A,Reason Clauses,Balanced,Saeed-1999[221-2],
127A-ypk,ypk,Yup'ik (Central),127A,Reason Clauses,Deranked,Miyaoka-1996[341],
127A-wam,wam,Wambaya,127A,Reason Clauses,Balanced,Nordlinger-1998[217-9],
127A-nti,nti,Ngiti,127A,Reason Clauses,Balanced,Kutsch-Lojenga-1994[403],
127A-mku,mku,Maranungku,127A,Reason Clauses,Balanced,Tryon-1970b,
