ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
13A-kgi,kgi,Konyagi,13A,Tone,Simple tone system,Santos-1977,
13A-brb,brb,Bariba,13A,Tone,Complex tone system,Welmers-1952a,
13A-koh,koh,Kohumono,13A,Tone,Complex tone system,Cook-1969b,
13A-mrn,mrn,Maranao,13A,Tone,No tones,McKaughan-1958;McKaughan-and-Macaraya-1967,
13A-mxm,mxm,Mixtec (Molinos),13A,Tone,Complex tone system,Hunter-and-Pike-1969,
13A-tks,tks,Teke (Southern),13A,Tone,Simple tone system,Paulian-1975,
13A-wdo,wdo,Western Desert (Ooldea),13A,Tone,No tones,Douglas-1964;Douglas-1955,
13A-wuc,wuc,Wu (Changzhou),13A,Tone,Complex tone system,Chao-1970,
13A-ald,ald,Alladian,13A,Tone,Simple tone system,Dumestre-and-Duponchel-1971;Duponchel-1971,
13A-bki,bki,Bakairí,13A,Tone,No tones,Wheatley-1969;Wheatley-1973,
13A-brd,brd,Bardi,13A,Tone,No tones,Metcalfe-1971,
13A-bee,bee,Beembe,13A,Tone,Simple tone system,Jacquot-1962;Jacquot-1981,
13A-bbf,bbf,Bobo Madaré (Northern),13A,Tone,Complex tone system,Bris-and-Prost-1981;Morse-1976,
13A-brw,brw,Bru (Western),13A,Tone,No tones,Thongkum-1979,
13A-cad,cad,Caddo,13A,Tone,Simple tone system,Chafe-1976;Chafe-1979,
13A-dad,dad,Dadibi,13A,Tone,Simple tone system,MacDonald-1973,
13A-ddf,ddf,Daju (Dar Fur),13A,Tone,No tones,Thelwall-1981;Tucker-and-Bryan-1966,
13A-dnw,dnw,Dangaléat (Western),13A,Tone,Simple tone system,Fedry-1977,
13A-dar,dar,Darai,13A,Tone,No tones,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
13A-det,det,Deti,13A,Tone,Simple tone system,Vossen-1997,
13A-dts,dts,Toro So,13A,Tone,Simple tone system,Bendor-Samuel-et-al-1989;Plungian-1995,
13A-fuz,fuz,Fuzhou,13A,Tone,Complex tone system,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
13A-gla,gla,Gelao,13A,Tone,Complex tone system,He-1981;He-1983,
13A-had,had,Hadza,13A,Tone,Simple tone system,Sands-et-al-1996;Tucker-et-al-1977,
13A-hba,hba,Hebrew (Modern Ashkenazic),13A,Tone,No tones,Bolozky-1978;Bolozky-1997,
13A-ird,ird,Irish (Donegal),13A,Tone,No tones,Ni-Chasaide-1999;O-Dochartaigh-1992,
13A-iso,iso,Isoko,13A,Tone,Simple tone system,Donwa-1982,
13A-ivs,ivs,Ivatan (Southern),13A,Tone,No tones,Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967;Hidalgo-and-Hidalgo-1971,
13A-jpr,jpr,Japreria,13A,Tone,No tones,Durbin-and-Seijas-1972,
13A-jom,jom,Jomang,13A,Tone,Simple tone system,Schadeberg-1981a,
13A-kzh,kzh,Kam (Zhanglu),13A,Tone,Complex tone system,Zheng-and-Quan-1988,
13A-ked,ked,Kedang,13A,Tone,No tones,Korner-1985;Samely-1991,
13A-kss,kss,Kisi (Southern),13A,Tone,Simple tone system,Childs-1995,
13A-kpa,kpa,Kpan,13A,Tone,Complex tone system,Shimizu-1971,
13A-lkk,lkk,Lakkia,13A,Tone,Complex tone system,Haudricourt-1967;Solnit-1988,
13A-lam,lam,Lamé,13A,Tone,Complex tone system,Sachnine-1982,
13A-lua,lua,Lua,13A,Tone,Complex tone system,Boyeldieu-1985,
13A-mya,mya,Ma'ya,13A,Tone,Complex tone system,van-der-Leeden-1993;Remijsen-2001,
13A-nkt,nkt,Nyah Kur (Tha Pong),13A,Tone,Simple tone system,Thongkum-1984;Thongkum-1982;Diffloth-1984,
13A-nyg,nyg,Nyangi,13A,Tone,Simple tone system,Heine-1975a,
13A-ogb,ogb,Ogbia,13A,Tone,Simple tone system,Williamson-1970;Williamson-1972,
13A-puk,puk,Parauk,13A,Tone,No tones,Qiu-et-al-1980;Diffloth-1980;Maddieson-and-Ladefoged-1985,
13A-phl,phl,Phlong,13A,Tone,Complex tone system,Cooke-et-al-1976,
13A-poa,poa,Po-Ai,13A,Tone,Complex tone system,,
13A-rsc,rsc,Romansch (Scharans),13A,Tone,No tones,Soler-and-Ebneter-1988,
13A-rtk,rtk,Rotokas,13A,Tone,No tones,Firchow-and-Firchow-1969;Firchow-et-al-1973,
13A-scs,scs,Saami (Central-South),13A,Tone,No tones,Hasselbrink-1965;Kert-1971,
13A-svs,svs,Savosavo,13A,Tone,No tones,Todd-1975,
13A-sui,sui,Sui,13A,Tone,Complex tone system,Li-1948,
13A-tmp,tmp,Tampulma,13A,Tone,Simple tone system,Bergman-et-al-1969,
13A-tok,tok,Tarok,13A,Tone,Complex tone system,Robinson-1976,
13A-tza,tza,Tzeltal (Aguacatenango),13A,Tone,No tones,Kaufman-1971,
13A-umb,umb,UMbundu,13A,Tone,Simple tone system,Schadeberg-1982;Schadeberg-1990,
13A-wnt,wnt,Wantoat,13A,Tone,No tones,Davis-1969,
13A-wps,wps,Wapishana,13A,Tone,No tones,Tracy-1972,
13A-xia,xia,Xiamen,13A,Tone,Complex tone system,Hanyu-1960;Ramsey-1987;Norman-1988,
13A-aik,aik,Aikaná,13A,Tone,Simple tone system,Hanke-1956;Aikhenvald-and-Dixon-1999[362-363],
13A-akw,akw,Akawaio,13A,Tone,No tones,Edwards-1978,
13A-aea,aea,Aleut (Eastern),13A,Tone,No tones,Bergsland-1956;Bergsland-1959;Bergsland-1994;Jacobson-1944;Cho-et-al-1997;Menovshchikov-1968;Rozelle-1997,
13A-chu,chu,Chulupí,13A,Tone,No tones,Stell-1972,
13A-fef,fef,Fe'fe',13A,Tone,Complex tone system,Hyman-1972,
13A-kef,kef,Kefa,13A,Tone,Simple tone system,Fleming-1976,
13A-ktk,ktk,Kotoko,13A,Tone,Simple tone system,Bouny-1977,
13A-lu,lu,Lü,13A,Tone,Complex tone system,Li-1964;Morev-1978,
13A-nap,nap,Neo-Aramaic (Persian Azerbaijan),13A,Tone,No tones,Garbell-1965,
13A-orm,orm,Ormuri,13A,Tone,No tones,Efimov-1986,
13A-snd,snd,Senadi,13A,Tone,Complex tone system,Welmers-1950,
