ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
39A-oix,oix,Otomí (Ixtenco),39A,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Lastra-1998[8],
39A-hum,hum,Huitoto (Murui),39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Petersen-de-Pineros-1994[53],
39A-qaw,qaw,Qawasqar,39A,Inclusive/Exclusive Distinction in Independent Pronouns,'We' the same as 'I',Clairis-1985[462-465],
39A-sel,sel,Selknam,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Najlis-1973[21],
39A-bri,bri,Bribri,39A,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Constenla-Umana-et-al-1998[2],
39A-kon,kon,Kongo,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Lumwamu-1973[117-118],
39A-lak,lak,Lak,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Helmbrecht-1996[132-135],
39A-eka,eka,Ekari,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Drabbe-1952[12],
39A-ham,ham,Hamtai,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Oates-and-Oates-1968[17],
39A-mrd,mrd,Marind,39A,Inclusive/Exclusive Distinction in Independent Pronouns,'We' the same as 'I',Drabbe-1955[28],
39A-abi,abi,Abipón,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Najlis-1966[53-56],
39A-mab,mab,Maba,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Tucker-and-Bryan-1966[195],
39A-una,una,Una,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Louwerse-1988[72],
39A-yuc,yuc,Yuchi,39A,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Wagner-1933-1938[325],
39A-pso,pso,Pomo (Southeastern),39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Moshinsky-1974[99-102],
39A-snt,snt,Sentani,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Cowan-1965[16],
39A-krb,krb,Kiribati,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Groves-et-al-1985[57],
39A-ypk,ypk,Yup'ik (Central),39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Jacobson-1985[22],
39A-fur,fur,Fur,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Jakobi-1990[92-93],
39A-ker,ker,Kera,39A,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Ebert-1979[130],
39A-lad,lad,Ladakhi,39A,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/exclusive,Koshal-1979[109-122],
39A-lep,lep,Lepcha,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Mainwaring-1971[33 ff.],
39A-tli,tli,Tlingit,39A,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,Swanton-1911b[170],
