ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
15A-ahs,ahs,Arabic (Bani-Hassan),15A,Weight-Sensitive Stress,Unbounded: Stress can be anywhere,Irshied-and-Kenstowicz-1984[109-148],
15A-arh,arh,Arabic (Hijazi),15A,Weight-Sensitive Stress,Right-oriented: One of the last three,Al-Mozainy-1981,
15A-atb,atb,Aralle-Tabulahan,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),McKenzie-1991[99-149],
15A-bnl,bnl,Banggarla,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Schurmann-1844,
15A-bim,bim,Bima,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Verheijen-1982,
15A-daa,daa,Da'a,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Barr-1995;Barr-and-Barr-1988,
15A-hln,hln,Halang,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Cooper-and-Cooper-1966,
15A-irm,irm,Irish (Munster),15A,Weight-Sensitive Stress,Unbounded: Stress can be anywhere,Dillon-1961;O-Siadhail-1989,
15A-kli,kli,Kaili,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Esser-1934,
15A-kaw,kaw,Kaiwá,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Bridgeman-1961,
15A-kap,kap,Kela (Apoze),15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Collier-and-Collier-1975,
15A-kuz,kuz,Kulamanen,15A,Weight-Sensitive Stress,Right-edge: Ultimate or penultimate,Dubois-1976;Meiklejohn-and-Meiklejohn-1958[1-3],
15A-lla,lla,Lamu-Lamu,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Laycock-1971,
15A-lje,lje,Lauje,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Himmelmann-1991,
15A-mms,mms,Mamasa,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Matti-1991,
15A-meb,meb,Melayu Betawi,15A,Weight-Sensitive Stress,Right-edge: Ultimate or penultimate,Ikranegara-1980;Wallace-1976,
15A-liv,liv,Liv,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Sjogren-1861,
15A-mgd,mgd,Mongondow,15A,Weight-Sensitive Stress,Fixed stress (no weight-sensitivity),Dunnebier-1929,
15A-mrk,mrk,Murik,15A,Weight-Sensitive Stress,Unbounded: Stress can be anywhere,Abbott-1985,
