ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
135A-abd,abd,Abidji,135A,Red and Yellow,Red/yellow,,
135A-ape,ape,Ampeeli,135A,Red and Yellow,Red vs. yellow,,
135A-bhn,bhn,Bahinemo,135A,Red and Yellow,Red vs. yellow,,
135A-bhi,bhi,Bhili,135A,Red and Yellow,Red vs. yellow,,
135A-bgl,bgl,Buglere,135A,Red and Yellow,Red vs. yellow,,
135A-cum,cum,Chumburung,135A,Red and Yellow,Red vs. yellow,,
135A-dym,dym,Dyimini,135A,Red and Yellow,Red vs. yellow,,
135A-gun,gun,Gunu,135A,Red and Yellow,Red/yellow,,
135A-hlb,hlb,Halbi,135A,Red and Yellow,Red vs. yellow,,
135A-kak,kak,Kamano-Kafe,135A,Red and Yellow,Red vs. yellow,,
135A-kmt,kmt,Kemtuik,135A,Red and Yellow,Red vs. yellow,,
135A-kkz,kkz,Kokni,135A,Red and Yellow,Red vs. yellow,,
135A-kkb,kkb,Konkomba,135A,Red and Yellow,Red/yellow,,
135A-mmp,mmp,Mampruli,135A,Red and Yellow,Red vs. yellow,,
135A-mav,mav,Maring,135A,Red and Yellow,Red vs. yellow,,
135A-mwa,mwa,Martu Wangka,135A,Red and Yellow,Red vs. yellow,,
135A-mwc,mwc,Mawchi,135A,Red and Yellow,Red vs. yellow,,
135A-mey,mey,Menya,135A,Red and Yellow,Red vs. yellow,,
135A-mdu,mdu,Mündü,135A,Red and Yellow,Red/yellow,,
135A-naf,naf,Nafaanra,135A,Red and Yellow,Red/yellow,,
135A-pdp,pdp,Folopa,135A,Red and Yellow,Red vs. yellow,,
135A-tif,tif,Tifal,135A,Red and Yellow,Red vs. yellow,,
135A-vas,vas,Vasavi,135A,Red and Yellow,Red vs. yellow,,
135A-wob,wob,Wobe,135A,Red and Yellow,Red/yellow,,
135A-ykn,ykn,Yakan,135A,Red and Yellow,Red vs. yellow,,
135A-zte,zte,Zapotec (Texmelucan),135A,Red and Yellow,Red vs. yellow,,
135A-cvc,cvc,Chavacano,135A,Red and Yellow,Red vs. yellow,,
135A-cul,cul,Culina,135A,Red and Yellow,Yellow/green/blue vs. red,,
135A-knq,knq,Kriol (Ngukurr),135A,Red and Yellow,Red vs. yellow,,
135A-sur,sur,Sursurunga,135A,Red and Yellow,Red vs. yellow,,
135A-amk,amk,Amarakaeri,135A,Red and Yellow,Red vs. yellow,,
135A-vag,vag,Vagla,135A,Red and Yellow,Red vs. yellow,,
135A-arl,arl,Arabic (Lebanese),135A,Red and Yellow,Red vs. yellow,,
135A-brk,brk,Berik,135A,Red and Yellow,Red vs. yellow,,
135A-mic,mic,Micmac,135A,Red and Yellow,Red vs. yellow,,
135A-agu,agu,Aguacatec,135A,Red and Yellow,Red vs. yellow,,
