ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
45A-tay,tay,Tayo,45A,Politeness Distinctions in Pronouns,Binary politeness distinction,Ehrhart-1993[135-140],
45A-ago,ago,Angolar,45A,Politeness Distinctions in Pronouns,Binary politeness distinction,Lorenzino-1998[143-155],
45A-mnx,mnx,Manx,45A,Politeness Distinctions in Pronouns,Binary politeness distinction,,
45A-kji,kji,Kurmanji,45A,Politeness Distinctions in Pronouns,No politeness distinction,Lescot-and-Khan-1986[98],
45A-ble,ble,Baule,45A,Politeness Distinctions in Pronouns,No politeness distinction,,
45A-sav,sav,Savi,45A,Politeness Distinctions in Pronouns,No politeness distinction,Buddruss-1967,
45A-mmb,mmb,Mangap-Mbula,45A,Politeness Distinctions in Pronouns,No politeness distinction,Bugenhagen-1995[108-116],
45A-ura,ura,Ura,45A,Politeness Distinctions in Pronouns,No politeness distinction,Crowley-1999,
45A-yct,yct,Yucatec,45A,Politeness Distinctions in Pronouns,No politeness distinction,Arzapalo-1973,
45A-nhh,nhh,Nahuatl (Huasteca),45A,Politeness Distinctions in Pronouns,Binary politeness distinction,Beller-and-Beller-1979[269f],
45A-dmi,dmi,Dumi,45A,Politeness Distinctions in Pronouns,No politeness distinction,van-Driem-1993,
45A-sng,sng,Sinaugoro,45A,Politeness Distinctions in Pronouns,No politeness distinction,Tauberschmidt-1999,
45A-urd,urd,Urdu,45A,Politeness Distinctions in Pronouns,Multiple politeness distinctions,Schmidt-1999[17-18],
45A-yin,yin,Yindjibarndi,45A,Politeness Distinctions in Pronouns,No politeness distinction,Wordick-1982[71ff],
45A-crn,crn,Cornish,45A,Politeness Distinctions in Pronouns,Binary politeness distinction,,
45A-kam,kam,Kambera,45A,Politeness Distinctions in Pronouns,No politeness distinction,Klamer-1998,
45A-msl,msl,Masalit,45A,Politeness Distinctions in Pronouns,No politeness distinction,Edgar-1989,
45A-nhn,nhn,Nahuatl (North Puebla),45A,Politeness Distinctions in Pronouns,Binary politeness distinction,Brockway-1979[170-172],
45A-kmb,kmb,Kombai,45A,Politeness Distinctions in Pronouns,No politeness distinction,de-Vries-1993[35],
45A-noo,noo,Noon,45A,Politeness Distinctions in Pronouns,No politeness distinction,Soukka-2000[101-119],
45A-per,per,Pero,45A,Politeness Distinctions in Pronouns,No politeness distinction,Frajzyngier-1989,
45A-taw,taw,Tawala,45A,Politeness Distinctions in Pronouns,No politeness distinction,Ezard-1997,
