ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
11A-cve,cve,Chuave,11A,Front Rounded Vowels,None,Thurman-1970,
11A-nbk,nbk,Natügu,11A,Front Rounded Vowels,High and mid,Wurm-1972b,
11A-ach,ach,Aché,11A,Front Rounded Vowels,None,Susnik-1974,
11A-aiz,aiz,Aizi,11A,Front Rounded Vowels,None,Herault-1971,
11A-brb,brb,Bariba,11A,Front Rounded Vowels,None,Welmers-1952a,
11A-koh,koh,Kohumono,11A,Front Rounded Vowels,None,Cook-1969b,
11A-mrn,mrn,Maranao,11A,Front Rounded Vowels,None,McKaughan-1958;McKaughan-and-Macaraya-1967,
11A-mxm,mxm,Mixtec (Molinos),11A,Front Rounded Vowels,None,Hunter-and-Pike-1969,
11A-sab,sab,Sa'ban,11A,Front Rounded Vowels,None,Clayre-1973,
11A-tks,tks,Teke (Southern),11A,Front Rounded Vowels,None,Paulian-1975,
11A-wdo,wdo,Western Desert (Ooldea),11A,Front Rounded Vowels,None,Douglas-1955;Douglas-1964,
11A-wuc,wuc,Wu (Changzhou),11A,Front Rounded Vowels,High only,Chao-1970,
11A-ald,ald,Alladian,11A,Front Rounded Vowels,None,Dumestre-and-Duponchel-1971;Duponchel-1971,
11A-bki,bki,Bakairí,11A,Front Rounded Vowels,None,Wheatley-1969;Wheatley-1973,
11A-brd,brd,Bardi,11A,Front Rounded Vowels,None,Metcalfe-1971,
11A-bee,bee,Beembe,11A,Front Rounded Vowels,None,Jacquot-1962;Jacquot-1981,
11A-bbf,bbf,Bobo Madaré (Northern),11A,Front Rounded Vowels,None,Morse-1976;Bris-and-Prost-1981,
11A-brw,brw,Bru (Western),11A,Front Rounded Vowels,None,Thongkum-1979,
11A-cad,cad,Caddo,11A,Front Rounded Vowels,None,Chafe-1979;Chafe-1976,
11A-dad,dad,Dadibi,11A,Front Rounded Vowels,None,MacDonald-1973,
11A-ddf,ddf,Daju (Dar Fur),11A,Front Rounded Vowels,None,Thelwall-1981;Tucker-and-Bryan-1966,
11A-dnw,dnw,Dangaléat (Western),11A,Front Rounded Vowels,None,Fedry-1977,
11A-dar,dar,Darai,11A,Front Rounded Vowels,None,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
11A-det,det,Deti,11A,Front Rounded Vowels,None,Vossen-1997,
11A-dts,dts,Toro So,11A,Front Rounded Vowels,None,Bendor-Samuel-et-al-1989;Plungian-1995,
11A-fuz,fuz,Fuzhou,11A,Front Rounded Vowels,High and mid,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
11A-gla,gla,Gelao,11A,Front Rounded Vowels,None,He-1981;He-1983,
