ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
46A-ibi,ibi,Ibibio,46A,Indefinite Pronouns,Generic-noun-based,Kaufman-1972,
46A-ksi,ksi,Ksingmul,46A,Indefinite Pronouns,Interrogative-based,Pogibenko-and-Buy-1990[59],
46A-neg,neg,Negidal,46A,Indefinite Pronouns,Interrogative-based,Kolesnikova-and-Konstantinova-1968[117],
46A-orl,orl,Orokolo,46A,Indefinite Pronouns,Generic-noun-based,Brown-1986[156],
46A-tmu,tmu,Tat (Muslim),46A,Indefinite Pronouns,Generic-noun-based,Grjunberg-1966[289],
46A-aso,aso,Altai (Southern),46A,Indefinite Pronouns,Interrogative-based,Baskakov-1966c[512],
46A-nro,nro,Nharo,46A,Indefinite Pronouns,Mixed,"Visser-2001[30, 46]",
46A-shr,shr,Shor,46A,Indefinite Pronouns,Interrogative-based,Babushkin-and-Donidze-1966[474],
46A-sum,sum,Sumu,46A,Indefinite Pronouns,Generic-noun-based,,
46A-tst,tst,Tsat,46A,Indefinite Pronouns,Interrogative-based,,
46A-krm,krm,Karaim,46A,Indefinite Pronouns,Interrogative-based,Musaev-1966[269],
46A-ski,ski,Saami (Kildin),46A,Indefinite Pronouns,Interrogative-based,Kert-1971[176-7],
46A-tis,tis,Tibetan (Shigatse),46A,Indefinite Pronouns,Generic-noun-based,,
46A-ano,ano,Anong,46A,Indefinite Pronouns,Generic-noun-based,,
46A-krq,krq,Kerek,46A,Indefinite Pronouns,Special,Skorik-1968b[320],
46A-kwr,kwr,Kwamera,46A,Indefinite Pronouns,Generic-noun-based,"Lindstrom-1986[43, 45, 183]",
46A-uku,uku,Upper Kuskokwim,46A,Indefinite Pronouns,Interrogative-based,,
46A-boz,boz,Bozo (Tigemaxo),46A,Indefinite Pronouns,Mixed,Blecke-1996,
46A-krl,krl,Karelian,46A,Indefinite Pronouns,Interrogative-based,Rjagoev-1993[71],
46A-mmo,mmo,Mordvin (Moksha),46A,Indefinite Pronouns,Interrogative-based,Feoktistov-1966[207],
46A-atc,atc,Atchin,46A,Indefinite Pronouns,Interrogative-based,Capell-and-Layard-1980[60],
46A-crk,crk,Creek,46A,Indefinite Pronouns,Interrogative-based,"Martin-and-Mauldin-2000[316, 346-7]",
46A-gag,gag,Gagauz,46A,Indefinite Pronouns,Interrogative-based,Pokrovskaja-1966[120],
46A-mah,mah,Mari (Hill),46A,Indefinite Pronouns,Interrogative-based,Kovedjaeva-1966b[247],
46A-ynk,ynk,Yankuntjatjara,46A,Indefinite Pronouns,Mixed,"Goddard-1994b[230, 233]",
46A-cch,cch,Chocho,46A,Indefinite Pronouns,Interrogative-based,Veerman-Leichsenring-2000[32],
46A-fue,fue,Futuna (East),46A,Indefinite Pronouns,Generic-noun-based,Moyse-Faurie-1999[120-121],
46A-mic,mic,Micmac,46A,Indefinite Pronouns,Interrogative-based,DeBlois-and-Metallic-1984[330],
46A-nel,nel,Nelemwa,46A,Indefinite Pronouns,Special,Bril-2002,
46A-nto,nto,Ntomba,46A,Indefinite Pronouns,Generic-noun-based,Mamet-1955,
46A-kaz,kaz,Kazakh,46A,Indefinite Pronouns,Mixed,Kenesbaev-and-Karasheva-1966[327],
46A-cri,cri,Crimean Tatar,46A,Indefinite Pronouns,Mixed,Sevortjan-1966[244],
46A-kod,kod,Kodava,46A,Indefinite Pronouns,Interrogative-based,Ebert-1996,
46A-msh,msh,Marshallese,46A,Indefinite Pronouns,Generic-noun-based,Abo-et-al-1976[462],
46A-bao,bao,Bao'an,46A,Indefinite Pronouns,Interrogative-based,Wu-2003[337],
46A-kji,kji,Kurmanji,46A,Indefinite Pronouns,Generic-noun-based,Bakaev-1966[268],
46A-gol,gol,Gola,46A,Indefinite Pronouns,Generic-noun-based,"Koroma-1994[53, 99, 153, 173, 175, 177]",
46A-zaz,zaz,Zazaki,46A,Indefinite Pronouns,Special,"Selcan-1998[335, 677]",
46A-bug,bug,Bugis,46A,Indefinite Pronouns,Interrogative-based,Sirk-1979[116],
46A-fon,fon,Fongbe,46A,Indefinite Pronouns,Generic-noun-based,Lefebvre-and-Brousseau-2002[369-70],
46A-itz,itz,Itzaj,46A,Indefinite Pronouns,Interrogative-based,Hofling-2000[41-2],
46A-gaa,gaa,Gaagudju,46A,Indefinite Pronouns,Interrogative-based,Harvey-2002[187-90],
46A-ywr,ywr,Yawuru,46A,Indefinite Pronouns,Special,Hosokawa-1991[346-8],
46A-grg,grg,Gurr-goni,46A,Indefinite Pronouns,Interrogative-based,Green-1995[151],
46A-khk,khk,Khakas,46A,Indefinite Pronouns,Interrogative-based,Karpov-1966[428],
46A-mle,mle,Maale,46A,Indefinite Pronouns,Generic-noun-based,"Amha-2001[58, 119]",
46A-dja,dja,Djabugay,46A,Indefinite Pronouns,Interrogative-based,Patz-1991[277],
46A-kat,kat,Kâte,46A,Indefinite Pronouns,Generic-noun-based,"Pilhofer-1933[57, 59, 72]",
46A-mrh,mrh,Marrithiyel,46A,Indefinite Pronouns,Interrogative-based,Mushin-1995,
46A-nog,nog,Noghay,46A,Indefinite Pronouns,Mixed,Baskakov-1966a[285],
46A-lml,lml,Limilngan,46A,Indefinite Pronouns,Interrogative-based,Harvey-2001[63-4],
46A-ene,ene,Enets,46A,Indefinite Pronouns,Interrogative-based,Tereshchenko-1966d[447],
46A-gam,gam,Gamo,46A,Indefinite Pronouns,Generic-noun-based,Hompo-1990[375],
46A-mbi,mbi,Mbili,46A,Indefinite Pronouns,Generic-noun-based,"Ayuninjam-1998[342, 347-8]",
46A-stl,stl,Santali,46A,Indefinite Pronouns,Interrogative-based,Vermeer-1969[236],
46A-aml,aml,Ambae (Lolovoli Northeast),46A,Indefinite Pronouns,Generic-noun-based,"Hyslop-2001[61, 131, 405]",
46A-klq,klq,Kalam,46A,Indefinite Pronouns,Generic-noun-based,Pawley-1994[390-1],
46A-kop,kop,Komi-Permyak,46A,Indefinite Pronouns,Interrogative-based,Lytkin-1966a[308],
46A-qia,qia,Qiang,46A,Indefinite Pronouns,Generic-noun-based,,
46A-sho,sho,Shoshone,46A,Indefinite Pronouns,Interrogative-based,Miller-1996b[710-1],
46A-tkm,tkm,Turkmen,46A,Indefinite Pronouns,Mixed,Azimov-et-al-1966[100],
46A-ilo,ilo,Ilocano,46A,Indefinite Pronouns,Generic-noun-based,"Rubino-1998b[601, 731]",
46A-ngn,ngn,Ngandi,46A,Indefinite Pronouns,Interrogative-based,Mushin-1995,
46A-agt,agt,Anguthimri,46A,Indefinite Pronouns,Interrogative-based,Crowley-1981[172],
46A-bdm,bdm,Badimaya,46A,Indefinite Pronouns,Interrogative-based,Dunn-1988[55],
46A-jam,jam,Jaminjung,46A,Indefinite Pronouns,Interrogative-based,Schultze-Berndt-2000[45-6],
46A-kyk,kyk,Kyaka,46A,Indefinite Pronouns,Generic-noun-based,Draper-and-Draper-2002[602],
46A-nha,nha,Nhanda,46A,Indefinite Pronouns,Interrogative-based,Blevins-2001[73],
46A-see,see,Seediq,46A,Indefinite Pronouns,Generic-noun-based,,
46A-ass,ass,Assamese,46A,Indefinite Pronouns,Interrogative-based,Goswami-and-Tamuli-2003,
46A-mrw,mrw,Muruwari,46A,Indefinite Pronouns,Interrogative-based,Mushin-1995,
46A-wrn,wrn,Warndarang,46A,Indefinite Pronouns,Interrogative-based,Heath-1980b[88];Dixon-2002[329],
46A-blr,blr,Belorussian,46A,Indefinite Pronouns,Interrogative-based,Birillo-et-al-1966[174],
46A-mlg,mlg,Malgwa,46A,Indefinite Pronouns,Mixed,"Lohr-2002[304, 308, 318, 323]",
46A-nwd,nwd,Newar (Dolakha),46A,Indefinite Pronouns,Interrogative-based,"Genetti-1994[63, 78]",
46A-yng,yng,Yingkarta,46A,Indefinite Pronouns,Interrogative-based,Dench-1998[39],
46A-abm,abm,Alabama,46A,Indefinite Pronouns,Interrogative-based,Sylestine-et-al-1993[303-7],
46A-lgu,lgu,Longgu,46A,Indefinite Pronouns,Generic-noun-based,Hill-1994[313-4],
46A-ndb,ndb,Ndebele (in South Africa),46A,Indefinite Pronouns,Generic-noun-based,Bowern-and-Lotridge-2002[27],
