ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
91A-tod,tod,Tod,91A,Order of Degree Word and Adjective,Degree word-Adjective,Sharma-1989b[ 301],
91A-cnm,cnm,Canamarí,91A,Order of Degree Word and Adjective,Adjective-Degree word,,
91A-cup,cup,Cupeño,91A,Order of Degree Word and Adjective,Degree word-Adjective,Hill-2005[ 357],
91A-hoa,hoa,Hoava,91A,Order of Degree Word and Adjective,Adjective-Degree word,Davis-2003[ 78],
91A-pdp,pdp,Folopa,91A,Order of Degree Word and Adjective,Degree word-Adjective,,
91A-boq,boq,Bokar,91A,Order of Degree Word and Adjective,Adjective-Degree word,Megu-1990[19-22],
91A-pog,pog,Pogoro,91A,Order of Degree Word and Adjective,Adjective-Degree word,Hendle-1907[ 49],
91A-jad,jad,Jad,91A,Order of Degree Word and Adjective,Adjective-Degree word,Sharma-1989c[44],
91A-chd,chd,Chaudangsi,91A,Order of Degree Word and Adjective,Degree word-Adjective,Sharma-1989a[149],
91A-dma,dma,Duma,91A,Order of Degree Word and Adjective,Adjective-Degree word,Adam-1954[151],
91A-ktu,ktu,Katu,91A,Order of Degree Word and Adjective,No dominant order,Costello-1969[30-31],
91A-nus,nus,Nusu,91A,Order of Degree Word and Adjective,Degree word-Adjective,Sun-and-Liu-1986[passim],
91A-bgn,bgn,Bugun,91A,Order of Degree Word and Adjective,Degree word-Adjective,Dondrup-1990[14],
91A-cln,cln,Cholón,91A,Order of Degree Word and Adjective,Degree word-Adjective,"Alexander-Bakkerus-2005[ 189, 290-291]",
91A-mgi,mgi,Magi,91A,Order of Degree Word and Adjective,Adjective-Degree word,Thomson-1975a[647],
91A-spi,spi,Spitian,91A,Order of Degree Word and Adjective,Degree word-Adjective,Sharma-1992[51],
91A-tho,tho,Thompson,91A,Order of Degree Word and Adjective,Degree word-Adjective,"Thompson-and-Thompson-1992[ 163, 171]",
91A-han,han,Hani,91A,Order of Degree Word and Adjective,No dominant order,Lewis-and-Bibo-1996[15];Li-1990[passim],
91A-kbt,kbt,Kabatei,91A,Order of Degree Word and Adjective,Degree word-Adjective,Stilo-2005[passim],
91A-klr,klr,Koluri,91A,Order of Degree Word and Adjective,Degree word-Adjective,Stilo-2005[passim],
91A-mbe,mbe,Mbere,91A,Order of Degree Word and Adjective,Adjective-Degree word,Adam-1954[151],
91A-nnd,nnd,Nend,91A,Order of Degree Word and Adjective,Adjective-Degree word,Harris-1990[137],
91A-tls,tls,Talysh (Southern),91A,Order of Degree Word and Adjective,Degree word-Adjective,Stilo-2005[passim],
91A-tni,tni,Tinani,91A,Order of Degree Word and Adjective,Degree word-Adjective,Sharma-1989b[181],
91A-wor,wor,Worora,91A,Order of Degree Word and Adjective,Adjective-Degree word,Love-2000[31],
91A-bfi,bfi,Bafia,91A,Order of Degree Word and Adjective,Adjective-Degree word,Guarisma-1973[211],
