ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
120A-dab,dab,Daba,120A,Zero Copula for Predicate Nominals,Possible,Mouchet-1966,
120A-ndi,ndi,Ngbandi,120A,Zero Copula for Predicate Nominals,Possible,Lekens-1923,
120A-otr,otr,Otoro,120A,Zero Copula for Predicate Nominals,Impossible,Tucker-and-Bryan-1966,
120A-brj,brj,Burji,120A,Zero Copula for Predicate Nominals,Possible,Hudson-1976c,
120A-ksm,ksm,Kasem,120A,Zero Copula for Predicate Nominals,Impossible,Cremer-1924,
120A-kko,kko,Koranko,120A,Zero Copula for Predicate Nominals,Impossible,Kastenholz-1987,
120A-ptp,ptp,Patpatar,120A,Zero Copula for Predicate Nominals,Possible,Peekel-1909,
120A-sey,sey,Seychelles Creole,120A,Zero Copula for Predicate Nominals,Impossible,Bollee-1977,
120A-wrp,wrp,Waropen,120A,Zero Copula for Predicate Nominals,Possible,Held-1942,
120A-lnw,lnw,Lonwolwol,120A,Zero Copula for Predicate Nominals,Impossible,Paton-1971,
120A-nbh,nbh,Ghulfan,120A,Zero Copula for Predicate Nominals,Impossible,Kauczor-1920,
120A-plr,plr,Palor,120A,Zero Copula for Predicate Nominals,Possible,DAlton-1983,
120A-prd,prd,Parji (Dravidian),120A,Zero Copula for Predicate Nominals,Impossible,Burrow-and-Bhattacharya-1953,
120A-bik,bik,Biak,120A,Zero Copula for Predicate Nominals,Impossible,Van-Hasselt-1905,
120A-grn,grn,Gurenne,120A,Zero Copula for Predicate Nominals,Impossible,Rapp-1966,
120A-ojs,ojs,Ojibwa (Severn),120A,Zero Copula for Predicate Nominals,Possible,Todd-1970,
120A-pap,pap,Papiamentu,120A,Zero Copula for Predicate Nominals,Impossible,,
120A-pop,pop,Popoloca (Metzontla),120A,Zero Copula for Predicate Nominals,Possible,Veerman-Leichsenring-1991,
120A-abz,abz,Abaza,120A,Zero Copula for Predicate Nominals,Impossible,Lomtatidze-and-Klychev-1989,
120A-frd,frd,Fordata,120A,Zero Copula for Predicate Nominals,Possible,Drabbe-1926a,
