ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
12A-ach,ach,Aché,12A,Syllable Structure,Simple,Susnik-1974,
12A-aiz,aiz,Aizi,12A,Syllable Structure,Complex,Herault-1971,
12A-sab,sab,Sa'ban,12A,Syllable Structure,Complex,Clayre-1973,
12A-ald,ald,Alladian,12A,Syllable Structure,Moderately complex,Dumestre-and-Duponchel-1971;Duponchel-1971,
12A-bki,bki,Bakairí,12A,Syllable Structure,Simple,Wheatley-1969;Wheatley-1973,
12A-brd,brd,Bardi,12A,Syllable Structure,Complex,Metcalfe-1971,
12A-bee,bee,Beembe,12A,Syllable Structure,Moderately complex,Jacquot-1962;Jacquot-1981,
12A-bbf,bbf,Bobo Madaré (Northern),12A,Syllable Structure,Simple,Bris-and-Prost-1981;Morse-1976,
12A-brw,brw,Bru (Western),12A,Syllable Structure,Complex,Thongkum-1979,
12A-cad,cad,Caddo,12A,Syllable Structure,Moderately complex,Chafe-1976;Chafe-1979,
12A-dad,dad,Dadibi,12A,Syllable Structure,Moderately complex,MacDonald-1973,
12A-ddf,ddf,Daju (Dar Fur),12A,Syllable Structure,Moderately complex,Thelwall-1981;Tucker-and-Bryan-1966,
12A-dnw,dnw,Dangaléat (Western),12A,Syllable Structure,Moderately complex,Fedry-1977,
12A-dar,dar,Darai,12A,Syllable Structure,Moderately complex,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
12A-det,det,Deti,12A,Syllable Structure,Moderately complex,Vossen-1997,
12A-dts,dts,Toro So,12A,Syllable Structure,Simple,Bendor-Samuel-et-al-1989;Plungian-1995,
12A-fuz,fuz,Fuzhou,12A,Syllable Structure,Moderately complex,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
12A-gla,gla,Gelao,12A,Syllable Structure,Moderately complex,He-1981;He-1983,
12A-had,had,Hadza,12A,Syllable Structure,Simple,Sands-et-al-1996;Tucker-et-al-1977,
12A-hba,hba,Hebrew (Modern Ashkenazic),12A,Syllable Structure,Complex,Bolozky-1978;Bolozky-1997,
12A-ird,ird,Irish (Donegal),12A,Syllable Structure,Complex,Ni-Chasaide-1999;O-Dochartaigh-1992,
12A-iso,iso,Isoko,12A,Syllable Structure,Moderately complex,Donwa-1982,
12A-ivs,ivs,Ivatan (Southern),12A,Syllable Structure,Moderately complex,Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967;Hidalgo-and-Hidalgo-1971,
12A-jpr,jpr,Japreria,12A,Syllable Structure,Moderately complex,Durbin-and-Seijas-1972,
12A-jom,jom,Jomang,12A,Syllable Structure,Moderately complex,Schadeberg-1981a,
12A-kzh,kzh,Kam (Zhanglu),12A,Syllable Structure,Moderately complex,Zheng-and-Quan-1988,
12A-ked,ked,Kedang,12A,Syllable Structure,Moderately complex,Korner-1985;Samely-1991,
12A-kss,kss,Kisi (Southern),12A,Syllable Structure,Moderately complex,Childs-1995,
12A-kpa,kpa,Kpan,12A,Syllable Structure,Complex,Shimizu-1971,
12A-lkk,lkk,Lakkia,12A,Syllable Structure,Moderately complex,Haudricourt-1967;Solnit-1988,
12A-lua,lua,Lua,12A,Syllable Structure,Moderately complex,Boyeldieu-1985,
12A-mya,mya,Ma'ya,12A,Syllable Structure,Moderately complex,Remijsen-2001;van-der-Leeden-1993,
12A-nkt,nkt,Nyah Kur (Tha Pong),12A,Syllable Structure,Complex,Diffloth-1984;Thongkum-1984;Thongkum-1982,
12A-nyg,nyg,Nyangi,12A,Syllable Structure,Moderately complex,Heine-1975a,
12A-ogb,ogb,Ogbia,12A,Syllable Structure,Moderately complex,Williamson-1970;Williamson-1972,
12A-puk,puk,Parauk,12A,Syllable Structure,Moderately complex,Maddieson-and-Ladefoged-1985;Qiu-et-al-1980;Diffloth-1980,
12A-phl,phl,Phlong,12A,Syllable Structure,Moderately complex,Cooke-et-al-1976,
12A-poa,poa,Po-Ai,12A,Syllable Structure,Moderately complex,,
12A-rsc,rsc,Romansch (Scharans),12A,Syllable Structure,Complex,Soler-and-Ebneter-1988,
12A-rtk,rtk,Rotokas,12A,Syllable Structure,Simple,Firchow-and-Firchow-1969;Firchow-et-al-1973,
12A-scs,scs,Saami (Central-South),12A,Syllable Structure,Complex,Hasselbrink-1965;Kert-1971,
12A-svs,svs,Savosavo,12A,Syllable Structure,Simple,Todd-1975,
12A-sui,sui,Sui,12A,Syllable Structure,Moderately complex,Li-1948,
12A-tmp,tmp,Tampulma,12A,Syllable Structure,Complex,Bergman-et-al-1969,
12A-tok,tok,Tarok,12A,Syllable Structure,Moderately complex,Robinson-1976,
12A-tza,tza,Tzeltal (Aguacatenango),12A,Syllable Structure,Complex,Kaufman-1971,
12A-umb,umb,UMbundu,12A,Syllable Structure,Simple,Schadeberg-1990;Schadeberg-1982,
12A-wnt,wnt,Wantoat,12A,Syllable Structure,Moderately complex,Davis-1969,
12A-wps,wps,Wapishana,12A,Syllable Structure,Moderately complex,Tracy-1972,
12A-xia,xia,Xiamen,12A,Syllable Structure,Moderately complex,Norman-1988;Ramsey-1987;Hanyu-1960,
12A-aik,aik,Aikaná,12A,Syllable Structure,Moderately complex,Hanke-1956;Aikhenvald-and-Dixon-1999[362-363],
12A-akw,akw,Akawaio,12A,Syllable Structure,Moderately complex,Edwards-1978,
12A-aea,aea,Aleut (Eastern),12A,Syllable Structure,Complex,Rozelle-1997;Bergsland-1959;Bergsland-1956;Bergsland-1994;Cho-et-al-1997;Jacobson-1944;Menovshchikov-1968,
12A-fef,fef,Fe'fe',12A,Syllable Structure,Moderately complex,Hyman-1972,
12A-kef,kef,Kefa,12A,Syllable Structure,Moderately complex,Fleming-1976,
12A-ktk,ktk,Kotoko,12A,Syllable Structure,Complex,Bouny-1977,
12A-lu,lu,Lü,12A,Syllable Structure,Moderately complex,Li-1964;Morev-1978,
12A-nap,nap,Neo-Aramaic (Persian Azerbaijan),12A,Syllable Structure,Complex,Garbell-1965,
12A-orm,orm,Ormuri,12A,Syllable Structure,Complex,Efimov-1986,
12A-snd,snd,Senadi,12A,Syllable Structure,Simple,Welmers-1950,
12A-wrs,wrs,Waris,12A,Syllable Structure,Moderately complex,Brown-1988b,
12A-byu,byu,Bandjalang (Yugumbir),12A,Syllable Structure,Moderately complex,Cunningham-1969,
12A-bno,bno,Waimaha,12A,Syllable Structure,Simple,Stolte-and-Stolte-1971,
12A-bis,bis,Bisa,12A,Syllable Structure,Moderately complex,Naden-1973,
12A-cac,cac,Cacua,12A,Syllable Structure,Moderately complex,Anderton-1989;Cathcart-1979,
12A-jeh,jeh,Jeh,12A,Syllable Structure,Complex,Cohen-1966;Gradin-1966;Gradin-and-Gradin-1979,
12A-kul,kul,Kullo,12A,Syllable Structure,Moderately complex,Allan-1976a,
12A-max,max,Maxakalí,12A,Syllable Structure,Moderately complex,Gudschinsky-et-al-1970,
12A-mtp,mtp,Mixe (Totontepec),12A,Syllable Structure,Complex,Crawford-1963;Schoenhals-and-Schoenhals-1965,
12A-toa,toa,Toaripi,12A,Syllable Structure,Simple,Brown-1973,
12A-yey,yey,Yeyi,12A,Syllable Structure,Moderately complex,Gowlett-1997,
12A-agh,agh,Aghem,12A,Syllable Structure,Moderately complex,Hyman-1979,
12A-aht,aht,Ahtna,12A,Syllable Structure,Complex,Kari-1990,
12A-eya,eya,Eyak,12A,Syllable Structure,Complex,Krauss-1965,
12A-kly,kly,Kala Lagaw Ya,12A,Syllable Structure,Complex,Kennedy-1981;Wurm-1972a,
12A-kot,kot,Kota,12A,Syllable Structure,Complex,Emeneau-1944,
