ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
79A-xun,xun,!Xun (Ekoka),79A,Suppletion According to Tense and Aspect,None,Konig-and-Heine-2001,
79A-orb,orb,Oromo (Boraana),79A,Suppletion According to Tense and Aspect,None,Stroomer-1995,
79A-sou,sou,Sorbian (Upper),79A,Suppletion According to Tense and Aspect,Tense and aspect,De-Bray-1980a[424],
79A-atu,atu,Arabic (Tunisian),79A,Suppletion According to Tense and Aspect,None,,
79A-agw,agw,Alagwa,79A,Suppletion According to Tense and Aspect,None,Mous-nd,
79A-oix,oix,Otomí (Ixtenco),79A,Suppletion According to Tense and Aspect,Aspect,Lastra-1998[21],
79A-svk,svk,Slovak,79A,Suppletion According to Tense and Aspect,Tense and aspect,De-Bray-1980a[183];Mistrik-1981[74],
79A-blr,blr,Belorussian,79A,Suppletion According to Tense and Aspect,Tense and aspect,Pashkevich-1978[350],
79A-mcd,mcd,Macedonian,79A,Suppletion According to Tense and Aspect,Tense,De-Bray-1980b[286-287],
79A-wly,wly,Wolaytta,79A,Suppletion According to Tense and Aspect,None,Lamberti-and-Sottile-1997,
79A-abn,abn,Arabana,79A,Suppletion According to Tense and Aspect,None,Hercus-1994,
79A-maw,maw,Maninka (Western),79A,Suppletion According to Tense and Aspect,None,Delafosse-1929;Tokarskaja-1964;Creissels-1983,
79A-mra,mra,Mara,79A,Suppletion According to Tense and Aspect,Aspect,Heath-1981[270],
79A-pme,pme,Pomo (Eastern),79A,Suppletion According to Tense and Aspect,None,McLendon-1975,
79A-ses,ses,Sesotho,79A,Suppletion According to Tense and Aspect,None,Jacottet-1927,
79A-slo,slo,Slovene,79A,Suppletion According to Tense and Aspect,Tense and aspect,"Derbyshire-1993[90, in passim]",
79A-grf,grf,Garífuna,79A,Suppletion According to Tense and Aspect,None,,
79A-kuo,kuo,Kuot,79A,Suppletion According to Tense and Aspect,Tense,Lindstrom-2002,
79A-ute,ute,Ute,79A,Suppletion According to Tense and Aspect,None,Southern-Ute-Tribe-1980,
79A-mlt,mlt,Maltese,79A,Suppletion According to Tense and Aspect,None,Borg-and-Azzopardi-Alexander-1997,
79A-ben,ben,Bengali,79A,Suppletion According to Tense and Aspect,Tense and aspect,Dimock-1965[191];Radice-1994[50-55],
79A-ukr,ukr,Ukrainian,79A,Suppletion According to Tense and Aspect,Tense and aspect,Medushevsky-and-Zyatovska-1963[106];Humesky-1980[114],
79A-tpn,tpn,Tepehuan (Northern),79A,Suppletion According to Tense and Aspect,Aspect,Bascom-1982[354],
79A-amr,amr,Arabic (Moroccan),79A,Suppletion According to Tense and Aspect,None,,
79A-snc,snc,Seneca,79A,Suppletion According to Tense and Aspect,None,Chafe-1996,
79A-cze,cze,Czech,79A,Suppletion According to Tense and Aspect,Tense and aspect,"Sova-1962[173, 443]",
79A-hup,hup,Hupa,79A,Suppletion According to Tense and Aspect,None,Golla-1996,
79A-hop,hop,Hopi,79A,Suppletion According to Tense and Aspect,None,Seaman-1996,
79A-qaw,qaw,Qawasqar,79A,Suppletion According to Tense and Aspect,None,Clairis-1985,
79A-mup,mup,Mupun,79A,Suppletion According to Tense and Aspect,None,Frajzyngier-1993,
79A-scr,scr,Serbian-Croatian,79A,Suppletion According to Tense and Aspect,Tense and aspect,Subotic-and-Forbes-1918[75],
79A-tna,tna,Turkana,79A,Suppletion According to Tense and Aspect,Tense,Dimmendaal-1983a[466],
79A-mok,mok,Mokilese,79A,Suppletion According to Tense and Aspect,None,Harrison-1976,
79A-psh,psh,Pashto,79A,Suppletion According to Tense and Aspect,Tense and aspect,,
79A-sam,sam,Samoan,79A,Suppletion According to Tense and Aspect,None,Mosel-and-Hovdhaugen-1992,
79A-sel,sel,Selknam,79A,Suppletion According to Tense and Aspect,None,Najlis-1973,
79A-pip,pip,Pipil,79A,Suppletion According to Tense and Aspect,Tense,Campbell-1985,
79A-mac,mac,Macushi,79A,Suppletion According to Tense and Aspect,Tense,"Abbott-1991[114, in passim]",
79A-swe,swe,Swedish,79A,Suppletion According to Tense and Aspect,Tense,,
79A-dut,dut,Dutch,79A,Suppletion According to Tense and Aspect,Tense,Donaldson-1981[139],
79A-bul,bul,Bulgarian,79A,Suppletion According to Tense and Aspect,Tense,,
