ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
94A-xas,xas,Xasonga,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Koite-Herschel-1981-1982[ 230-235],
94A-zhn,zhn,Zhuang (Northern),94A,Order of Adverbial Subordinator and Clause,Mixed,Yongxian-Luo-2008[ 367-369],
94A-zzo,zzo,Zapotec (Zoogocho),94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Sonnenschein-2005[161],
94A-eip,eip,Eipo,94A,Order of Adverbial Subordinator and Clause,Mixed,"Heeschen-1998[ 193, passim]",
94A-mrq,mrq,Marquesan,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Lynch-2002a[ 876],
94A-hoa,hoa,Hoava,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,"Davis-2003[ 281, 282]",
94A-ifm,ifm,Ifumu,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Makouta-Mboukou-1977[ 443],
94A-yns,yns,Yansi,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Mayanga-1985[104-107],
94A-bik,bik,Biak,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,van-den-Heuvel-2006[ 403],
94A-bnr,bnr,Bilinarra,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Nordlinger-1990[125-127],
94A-nke,nke,Nkem,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Sibomana-1986[ 283-285],
94A-uru,uru,Uru,94A,Order of Adverbial Subordinator and Clause,Subordinating suffix,Vellard-1967[passim],
94A-des,des,Desano,94A,Order of Adverbial Subordinator and Clause,Final subordinator word,Miller-1999[ 151],
94A-kti,kti,"Kati (in West Papua, Indonesia)",94A,Order of Adverbial Subordinator and Clause,Final subordinator word,Boelaars-1950[ 89],
94A-zqo,zqo,Zoque (Ostuacan),94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Engel-and-Longacre-1963[339],
94A-cln,cln,Cholón,94A,Order of Adverbial Subordinator and Clause,Subordinating suffix,"Alexander-Bakkerus-2005[ 275ff, 335, 337]",
94A-lmb,lmb,Lamba,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Doke-1922[146-147],
94A-ctw,ctw,Catawba,94A,Order of Adverbial Subordinator and Clause,Final subordinator word,Voorhis-2003[262],
94A-ayw,ayw,Ayiwo,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Wurm-et-al-1985[passim],
94A-bnu,bnu,Bularnu,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Breen-1980[105],
94A-dul,dul,Dulong,94A,Order of Adverbial Subordinator and Clause,Final subordinator word,LaPolla-2003a[ 681],
94A-kyp,kyp,Kayapó,94A,Order of Adverbial Subordinator and Clause,Subordinating suffix,Thomson-and-Stout-1974b[passim],
94A-kyn,kyn,Koyukon,94A,Order of Adverbial Subordinator and Clause,Final subordinator word,Chapman-1914[passim],
94A-mke,mke,Mekeo,94A,Order of Adverbial Subordinator and Clause,Mixed,Jones-1998a[496-497],
94A-mgk,mgk,Mungaka,94A,Order of Adverbial Subordinator and Clause,Mixed,Tischhauser-1992[26-28],
94A-svs,svs,Savosavo,94A,Order of Adverbial Subordinator and Clause,Final subordinator word,"Wegener-2008[ 253, 264ff]",
94A-sim,sim,Simeulue,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Kahler-1963[passim],
94A-sod,sod,Soddo,94A,Order of Adverbial Subordinator and Clause,Mixed,Cohen-1931[210],
94A-bug,bug,Bugis,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Sirk-1983[74],
94A-kil,kil,Kiluba,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,DeClercq-1929[78-79],
94A-mag,mag,Magar,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Shepherd-and-Shepherd-1973[passim],
94A-mus,mus,Mussau,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Ross-2002b[ 166],
94A-rsu,rsu,Romansch (Sursilvan),94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Haiman-1988[373],
94A-wau,wau,Waunana,94A,Order of Adverbial Subordinator and Clause,Mixed,"Loewen-1954[62-64, 69, 113]",
94A-adn,adn,Adynyamathanha,94A,Order of Adverbial Subordinator and Clause,Initial subordinator word,Schebeck-1974[45],
94A-ann,ann,Anindilyakwa,94A,Order of Adverbial Subordinator and Clause,Mixed,Leeding-1989[passim],
