ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
73A-awk,awk,Akwa,73A,The Optative,Inflectional optative absent,Aksenova-and-Toporova-2002,
73A-tsp,tsp,Tamil (Spoken),73A,The Optative,Inflectional optative absent,,
73A-tmi,tmi,Tatar (Mishar),73A,The Optative,Inflectional optative absent,,
73A-adt,adt,Adyghe (Temirgoy),73A,The Optative,Inflectional optative present,Kumaxov-1971[234];Rogava-and-Kerasheva-1966[179],
73A-ktz,ktz,Kati (in Afghanistan),73A,The Optative,Inflectional optative absent,Grjunberg-1980,
73A-klg,klg,Kulung,73A,The Optative,Inflectional optative present,Tolsma-1999[120],
73A-taz,taz,Talysh (Azerbaijan),73A,The Optative,Inflectional optative present,Miller-1953[149],
73A-aso,aso,Altai (Southern),73A,The Optative,Inflectional optative absent,Dyrenkova-1940,
73A-alu,alu,Alutor,73A,The Optative,Inflectional optative absent,Kibrik-et-al-2000,
73A-shr,shr,Shor,73A,The Optative,Inflectional optative absent,Dyrenkova-1941,
73A-dbd,dbd,Dabida,73A,The Optative,Inflectional optative absent,Rjabova-2000,
73A-krm,krm,Karaim,73A,The Optative,Inflectional optative present,,
73A-rav,rav,Romani (Ajia Varvara),73A,The Optative,Inflectional optative absent,Igla-1989,
73A-bez,bez,Bezhta,73A,The Optative,Inflectional optative present,Madieva-1965[127],
73A-her,her,Herero,73A,The Optative,Inflectional optative absent,Viehe-1897,
73A-mop,mop,Mopan,73A,The Optative,Inflectional optative absent,Ulrich-et-al-1986,
73A-pta,pta,Paita,73A,The Optative,Inflectional optative absent,Paita-and-Shintani-1990,
73A-agl,agl,Aghul,73A,The Optative,Inflectional optative present,,
73A-kuq,kuq,Kumyk,73A,The Optative,Inflectional optative present,Gadzhiaxmedov-2000[245],
73A-abz,abz,Abaza,73A,The Optative,Inflectional optative present,Genko-1995[159],
73A-loz,loz,Lozi,73A,The Optative,Inflectional optative absent,Gowlett-1967,
73A-csh,csh,Cashinahua,73A,The Optative,Inflectional optative absent,Camargo-Bigot-1992,
73A-kaz,kaz,Kazakh,73A,The Optative,Inflectional optative absent,Balakajev-et-al-1962,
73A-mdk,mdk,Mandinka,73A,The Optative,Inflectional optative absent,Creissels-1983,
73A-tsz,tsz,Tsez,73A,The Optative,Inflectional optative present,,
73A-ido,ido,Idoma,73A,The Optative,Inflectional optative absent,Abraham-1951,
73A-kji,kji,Kurmanji,73A,The Optative,Inflectional optative absent,Cukerman-1962,
73A-tsa,tsa,Tsakhur,73A,The Optative,Inflectional optative present,Kibrik-1999[283],
73A-bgv,bgv,Bagvalal,73A,The Optative,Inflectional optative present,Kibrik-2001[327],
73A-bem,bem,Bemba,73A,The Optative,Inflectional optative absent,Sims-1959,
73A-snn,snn,Soninke,73A,The Optative,Inflectional optative absent,Diagana-1995,
73A-kte,kte,Kete,73A,The Optative,Inflectional optative absent,Kamba-Muzenga-1980,
73A-khk,khk,Khakas,73A,The Optative,Inflectional optative absent,Baskakov-1975,
73A-mgo,mgo,Mongo,73A,The Optative,Inflectional optative absent,Hulstaert-1965,
73A-nog,nog,Noghay,73A,The Optative,Inflectional optative present,Baskakov-1973[247],
73A-ong,ong,Onge,73A,The Optative,Inflectional optative absent,Dasgupta-and-Sharma-1982,
73A-sdh,sdh,Sindhi,73A,The Optative,Inflectional optative absent,Jegorova-1966,
73A-sus,sus,Susu,73A,The Optative,Inflectional optative absent,Friedlander-1974,
73A-gbk,gbk,Gbaya Kara,73A,The Optative,Inflectional optative absent,Roulon-Doko-1995,
73A-stl,stl,Santali,73A,The Optative,Inflectional optative present,Neukom-2001[86],
73A-thk,thk,Thakali,73A,The Optative,Inflectional optative absent,Georg-1995,
73A-drg,drg,Dargwa,73A,The Optative,Inflectional optative present,,
73A-kim,kim,Kimaghama,73A,The Optative,Inflectional optative absent,Drabbe-1949,
73A-see,see,Seediq,73A,The Optative,Inflectional optative absent,Asai-1953,
73A-cak,cak,Cakchiquel,73A,The Optative,Inflectional optative absent,Townsend-1961,
73A-nma,nma,Naga (Mao),73A,The Optative,Inflectional optative absent,Giridhar-1994,
73A-kin,kin,Kinyarwanda,73A,The Optative,Inflectional optative absent,Dubnova-1979,
73A-man,man,Mano,73A,The Optative,Inflectional optative absent,Becker-Donner-1965,
