ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
87A-brl,brl,Baragaunle,87A,Order of Adjective and Noun,Noun-Adjective,Kretschmar-1995[ 202],
87A-dhm,dhm,Dhimal,87A,Order of Adjective and Noun,Adjective-Noun,Cooper-1999[ 30],
87A-els,els,Elseng,87A,Order of Adjective and Noun,Noun-Adjective,Burung-2000[9],
87A-krz,krz,Kryz,87A,Order of Adjective and Noun,Adjective-Noun,Authier-2004[ 224],
87A-rag,rag,Raga,87A,Order of Adjective and Noun,Noun-Adjective,Crowley-2002c[ 630],
87A-xas,xas,Xasonga,87A,Order of Adjective and Noun,Noun-Adjective,Koite-Herschel-1981-1982[ 108-109],
87A-yrm,yrm,Yurimangí,87A,Order of Adjective and Noun,Noun-Adjective,Adelaar-2004[ 61],
87A-buj,buj,Bujeba,87A,Order of Adjective and Noun,Noun-Adjective,Gonzalez-Echegaray-1960[79],
87A-cnm,cnm,Canamarí,87A,Order of Adjective and Noun,Noun-Adjective,,
87A-ina,ina,Inanwatan,87A,Order of Adjective and Noun,Noun-Adjective,de-Vries-1996[ 64],
87A-kyo,kyo,Kanyok,87A,Order of Adjective and Noun,Noun-Adjective,"Mukash-Kalel-1982[ 240, 243]",
87A-klg,klg,Kulung,87A,Order of Adjective and Noun,Adjective-Noun,Tolsma-1999[ 35],
87A-les,les,Lese,87A,Order of Adjective and Noun,Noun-Adjective,Vorbichler-1965[ 157],
87A-lgt,lgt,Logoti,87A,Order of Adjective and Noun,Noun-Adjective,Tucker-1967[ 282],
87A-mij,mij,Miju,87A,Order of Adjective and Noun,Noun-Adjective,Das-Gupta-1977[ 17],
87A-nif,nif,Niuafo'ou,87A,Order of Adjective and Noun,Noun-Adjective,"Early-2002[ 852, 853]",
87A-xar,xar,Xârâcùù,87A,Order of Adjective and Noun,Adjective-Noun,,
87A-zzo,zzo,Zapotec (Zoogocho),87A,Order of Adjective and Noun,Noun-Adjective,"Sonnenschein-2005[ 95, 111]",
87A-anu,anu,Anufo,87A,Order of Adjective and Noun,Noun-Adjective,Smye-2004[ 29],
87A-eip,eip,Eipo,87A,Order of Adjective and Noun,Adjective-Noun,"Heeschen-1998[ 210, 265]",
87A-har,har,Haruai,87A,Order of Adjective and Noun,Noun-Adjective,,
87A-luy,luy,Luyia,87A,Order of Adjective and Noun,Noun-Adjective,Appleby-1961[29],
87A-mrq,mrq,Marquesan,87A,Order of Adjective and Noun,Noun-Adjective,Lynch-2002a[ 870],
87A-mhk,mhk,Mehek,87A,Order of Adjective and Noun,Noun-Adjective,Laycock-and-Zgraggen-1975[748],
