ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
6A-kgi,kgi,Konyagi,6A,Uvular Consonants,None,Santos-1977,
6A-cve,cve,Chuave,6A,Uvular Consonants,None,Thurman-1970,
6A-nbk,nbk,Natügu,6A,Uvular Consonants,None,Wurm-1972b,
6A-ach,ach,Aché,6A,Uvular Consonants,None,Susnik-1974,
6A-aiz,aiz,Aizi,6A,Uvular Consonants,None,Herault-1971,
6A-brb,brb,Bariba,6A,Uvular Consonants,None,Welmers-1952a,
6A-koh,koh,Kohumono,6A,Uvular Consonants,None,Cook-1969b,
6A-mrn,mrn,Maranao,6A,Uvular Consonants,None,McKaughan-1958;McKaughan-and-Macaraya-1967,
6A-mxm,mxm,Mixtec (Molinos),6A,Uvular Consonants,None,Hunter-and-Pike-1969,
6A-sab,sab,Sa'ban,6A,Uvular Consonants,None,Clayre-1973,
6A-tks,tks,Teke (Southern),6A,Uvular Consonants,None,Paulian-1975,
6A-wdo,wdo,Western Desert (Ooldea),6A,Uvular Consonants,None,Douglas-1964;Douglas-1955,
6A-wuc,wuc,Wu (Changzhou),6A,Uvular Consonants,None,Chao-1970,
6A-ald,ald,Alladian,6A,Uvular Consonants,None,Dumestre-and-Duponchel-1971;Duponchel-1971,
6A-bki,bki,Bakairí,6A,Uvular Consonants,None,Wheatley-1969;Wheatley-1973,
6A-brd,brd,Bardi,6A,Uvular Consonants,None,Metcalfe-1971,
6A-bee,bee,Beembe,6A,Uvular Consonants,None,Jacquot-1962;Jacquot-1981,
6A-bbf,bbf,Bobo Madaré (Northern),6A,Uvular Consonants,None,Morse-1976;Bris-and-Prost-1981,
6A-brw,brw,Bru (Western),6A,Uvular Consonants,None,Thongkum-1979,
6A-cad,cad,Caddo,6A,Uvular Consonants,None,Chafe-1979;Chafe-1976,
6A-dad,dad,Dadibi,6A,Uvular Consonants,None,MacDonald-1973,
6A-ddf,ddf,Daju (Dar Fur),6A,Uvular Consonants,Uvular continuants only,Thelwall-1981;Tucker-and-Bryan-1966,
6A-dnw,dnw,Dangaléat (Western),6A,Uvular Consonants,None,Fedry-1977,
6A-dar,dar,Darai,6A,Uvular Consonants,None,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
6A-det,det,Deti,6A,Uvular Consonants,None,Vossen-1997,
6A-dts,dts,Toro So,6A,Uvular Consonants,None,Bendor-Samuel-et-al-1989;Plungian-1995,
6A-fuz,fuz,Fuzhou,6A,Uvular Consonants,None,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
6A-gla,gla,Gelao,6A,Uvular Consonants,Uvular stops only,He-1981;He-1983,
6A-had,had,Hadza,6A,Uvular Consonants,None,Sands-et-al-1996;Tucker-et-al-1977,
6A-hba,hba,Hebrew (Modern Ashkenazic),6A,Uvular Consonants,Uvular continuants only,Bolozky-1978;Bolozky-1997,
6A-ird,ird,Irish (Donegal),6A,Uvular Consonants,None,Ni-Chasaide-1999;O-Dochartaigh-1992,
6A-iso,iso,Isoko,6A,Uvular Consonants,None,Donwa-1982,
6A-ivs,ivs,Ivatan (Southern),6A,Uvular Consonants,None,Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967;Hidalgo-and-Hidalgo-1971,
6A-jpr,jpr,Japreria,6A,Uvular Consonants,None,Durbin-and-Seijas-1972,
6A-jom,jom,Jomang,6A,Uvular Consonants,None,Schadeberg-1981a,
6A-kzh,kzh,Kam (Zhanglu),6A,Uvular Consonants,Uvular continuants only,Zheng-and-Quan-1988,
6A-ked,ked,Kedang,6A,Uvular Consonants,None,Korner-1985;Samely-1991,
