ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
121A-bgi,bgi,Bagri,121A,Comparative Constructions,Locational,Gusain-2000,
121A-sik,sik,Sika,121A,Comparative Constructions,Conjoined,Arndt-1931,
121A-fus,fus,Fula (Senegal),121A,Comparative Constructions,Exceed,Labouret-1952,
121A-taz,taz,Talysh (Azerbaijan),121A,Comparative Constructions,Locational,Schulze-2000,
121A-ptp,ptp,Patpatar,121A,Comparative Constructions,Conjoined,Peekel-1909,
121A-rnd,rnd,Rundi,121A,Comparative Constructions,Exceed,Meeussen-1959,
121A-kug,kug,Kunming,121A,Comparative Constructions,Exceed,Gui-2000,
121A-mbo,mbo,Monumbo,121A,Comparative Constructions,Conjoined,Vormann-and-Scharfenberger-1914,
121A-mxa,mxa,Mixtec (Atatlahuca),121A,Comparative Constructions,Conjoined,Alexander-1980,
121A-qcu,qcu,Quechua (Cuzco),121A,Comparative Constructions,Locational,von-Tschudi-1884,
121A-sra,sra,Sranan,121A,Comparative Constructions,Particle,Voorhoeve-1962,
121A-yav,yav,Yavapai,121A,Comparative Constructions,Conjoined,Kendall-1976,
121A-tup,tup,Tupi,121A,Comparative Constructions,Locational,Platzmann-1874,
121A-coe,coe,Coeur d'Alene,121A,Comparative Constructions,Locational,Reichard-1933-1938,
121A-kyp,kyp,Kayapó,121A,Comparative Constructions,Conjoined,Maria-1914,
121A-ngu,ngu,Nguna,121A,Comparative Constructions,Exceed,Ray-1926,
121A-biu,biu,Bisu,121A,Comparative Constructions,Conjoined,Shixuan-2001,
121A-laz,laz,Laz,121A,Comparative Constructions,Locational,Dirr-1928,
121A-khk,khk,Khakas,121A,Comparative Constructions,Locational,Anderson-1998,
121A-stn,stn,Sotho (Northern),121A,Comparative Constructions,Exceed,Louwrens-et-al-1995,
121A-yah,yah,Yahgan,121A,Comparative Constructions,Exceed,Adam-1885,
121A-dua,dua,Duala,121A,Comparative Constructions,Exceed,Ittmann-1939,
121A-sap,sap,Sapuan,121A,Comparative Constructions,Exceed,Jacq-and-Sidwell-1999,
121A-stl,stl,Santali,121A,Comparative Constructions,Locational,Neukom-2001,
121A-ams,ams,Arabic (Modern Standard),121A,Comparative Constructions,Locational,Nasr-1967,
121A-ilo,ilo,Ilocano,121A,Comparative Constructions,Particle,Lopez-1928,
121A-kms,kms,Kamass,121A,Comparative Constructions,Locational,Kunnap-1999b,
121A-klw,klw,Kiliwa,121A,Comparative Constructions,Conjoined,Mixco-2000,
121A-kbl,kbl,Kabyle,121A,Comparative Constructions,Locational,Hanoteau-1906,
121A-kem,kem,Kemant,121A,Comparative Constructions,Locational,Rossini-1912,
