ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
88A-brl,brl,Baragaunle,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Kretschmar-1995[203],
88A-dhm,dhm,Dhimal,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Cooper-1999[ 30],
88A-krz,krz,Kryz,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Authier-2004[ 224],
88A-ora,ora,Emai,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Schaefer-and-Egbokhare-2007[ 10],
88A-rag,rag,Raga,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Crowley-2002c[ 630],
88A-xas,xas,Xasonga,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Koite-Herschel-1981-1982[ 118],
88A-buj,buj,Bujeba,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Gonzalez-Echegaray-1960[91],
88A-cnm,cnm,Canamarí,88A,Order of Demonstrative and Noun,Demonstrative-Noun,,
88A-kyo,kyo,Kanyok,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Mukash-Kalel-1982[ passim];Stappers-1986b[57],
88A-les,les,Lese,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Vorbichler-1965[ 157],
88A-lgt,lgt,Logoti,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Tucker-1967[ 145],
88A-nif,nif,Niuafo'ou,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Early-2002[ 853],
88A-ppc,ppc,Piapoco,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Reinoso-Galindo-2002[328],
88A-sge,sge,Songe,88A,Order of Demonstrative and Noun,Mixed,Samain-1923[18],
88A-tpt,tpt,Tapieté,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Gonzalez-2005[ 120],
88A-xar,xar,Xârâcùù,88A,Order of Demonstrative and Noun,Noun-Demonstrative,,
88A-zzo,zzo,Zapotec (Zoogocho),88A,Order of Demonstrative and Noun,Noun-Demonstrative,Sonnenschein-2005[ 97],
88A-anu,anu,Anufo,88A,Order of Demonstrative and Noun,Demonstrative-Noun,Smye-2004[ 28],
88A-dng,dng,Ding,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Mertens-1934[63],
88A-eip,eip,Eipo,88A,Order of Demonstrative and Noun,Mixed,Heeschen-1998[ passim],
88A-luy,luy,Luyia,88A,Order of Demonstrative and Noun,Noun-Demonstrative,Appleby-1961[29],
88A-mrq,mrq,Marquesan,88A,Order of Demonstrative and Noun,Mixed,Lynch-2002a[ passim],
88A-ndi,ndi,Ngbandi,88A,Order of Demonstrative and Noun,Noun-Demonstrative,"Toronzoni-1989[344, 347]",
