InventoryID_x,Source_x,LanguageCode_x,LanguageName_x,Glottocode_x,GlottologName_x,Trump_x,LanguageFamilyRoot_x,LanguageFamilyGenus_x,Country_x,Area_x,Population_x,Latitude_x,Longitude_x,Phonemes_x,Consonants_x,Tones_x,Vowels_x,InventoryID_y,Source_y,LanguageCode_y,LanguageName_y,Glottocode_y,GlottologName_y,Trump_y,LanguageFamilyRoot_y,LanguageFamilyGenus_y,Country_y,Area_y,Population_y,Latitude_y,Longitude_y,Phonemes_y,Consonants_y,Tones_y,Vowels_y,elevation
373,UPSID,itl,ITELMEN,itel1242,Itelmen,1,chka,Southern Chukotko-Kamchatkan,Russian Federation,Europe,380,56.7798,156.906,32,27,0,5,373.0,UPSID,itl,ITELMEN,itel1242,Itelmen,1.0,chka,Southern Chukotko-Kamchatkan,Russian Federation,Europe,380,56.7798,156.906,32.0,27.0,0.0,5.0,67.75601959228516
374,UPSID,ito,ITONAMA,iton1250,Itonama,3,saso,Itonama,Bolivia,America,10,-12.8043,-64.3575,25,19,0,6,374.0,UPSID,ito,ITONAMA,iton1250,Itonama,3.0,saso,Itonama,Bolivia,America,10,-12.8043,-64.3575,25.0,19.0,0.0,6.0,139.3339080810547
375,UPSID,ium,MIEN,iumi1238,Iu Mien,2,hmom,Hmong-Mien,China,Asia,383000,20.83,101.17,41,33,0,8,375.0,UPSID,ium,MIEN,iumi1238,Iu Mien,2.0,hmom,Hmong-Mien,China,Asia,383000,20.83,101.17,41.0,33.0,0.0,8.0,1164.947509765625
376,UPSID,ivv,IVATAN,ivat1242,Ivatan,1,anes,Northern Philippines,Philippines,Asia,35000,20.3848,121.975,23,19,0,4,376.0,UPSID,ivv,IVATAN,ivat1242,Ivatan,1.0,anes,Northern Philippines,Philippines,Asia,35000,20.3848,121.975,23.0,19.0,0.0,4.0,-199.2281188964844
377,UPSID,iwm,IWAM,iwam1256,Iwam,1,sepr,Upper Sepik,Papua New Guinea,Pacific,3000,-4.27346,141.817,17,11,0,6,377.0,UPSID,iwm,IWAM,iwam1256,Iwam,1.0,sepr,Upper Sepik,Papua New Guinea,Pacific,3000,-4.27346,141.817,17.0,11.0,0.0,6.0,42.58753204345703
378,UPSID,jac,JACALTEC,popt1235,Popti',1,maya,Mayan,Guatemala,America,11000,15.6609,-91.6633,32,27,0,5,378.0,UPSID,jac,JACALTEC,popt1235,Popti',1.0,maya,Mayan,Guatemala,America,11000,15.6609,-91.6633,32.0,27.0,0.0,5.0,1593.91064453125
379,UPSID,jao,YANYPHA,yany1243,Yanyuwa,1,aust,Pama-Nyungan,Australia,Pacific,52,-15.7621,136.055,32,29,0,3,379.0,UPSID,jao,YANYPHA,yany1243,Yanyuwa,1.0,aust,Pama-Nyungan,Australia,Pacific,52,-15.7621,136.055,32.0,29.0,0.0,3.0,40.05675506591797
380,UPSID,jav,JAVANESE,java1254,Javanese,3,anes,Javanese,Indonesia,Asia,84300000,-0.572307,110.885,29,21,0,8,380.0,UPSID,jav,JAVANESE,java1254,Javanese,3.0,anes,Javanese,Indonesia,Asia,84300000,-0.572307,110.885,29.0,21.0,0.0,8.0,363.4140014648438
381,UPSID,jeb,JEBERO,jebe1250,Jebero,2,cahu,Cahuapanan,Peru,America,2500,-5.403169999999999,-76.4103,23,19,0,4,381.0,UPSID,jeb,JEBERO,jebe1250,Jebero,2.0,cahu,Cahuapanan,Peru,America,2500,-5.403169999999999,-76.4103,23.0,19.0,0.0,4.0,221.8533325195312
382,UPSID,jic,TOL,toll1241,Tol,1,cais,Tol,Honduras,America,350,14.6686,-87.0372,28,22,0,6,382.0,UPSID,jic,TOL,toll1241,Tol,1.0,cais,Tol,Honduras,America,350,14.6686,-87.0372,28.0,22.0,0.0,6.0,1023.939819335938
383,UPSID,jiv,JIVARO,shua1257,Shuar,3,jiva,Jivaroan,Ecuador,America,46700,-3.4513599999999998,-78.1892,23,15,0,8,383.0,UPSID,jiv,JIVARO,shua1257,Shuar,3.0,jiva,Jivaroan,Ecuador,America,46700,-3.4513599999999998,-78.1892,23.0,15.0,0.0,8.0,1301.252075195312
384,UPSID,jpn,JAPANESE,nucl1643,Nuclear Japanese,2,japo,Japanese,Japan,Asia,121000000,35.0,135.0,20,15,0,5,384.0,UPSID,jpn,JAPANESE,nucl1643,Nuclear Japanese,2.0,japo,Japanese,Japan,Asia,121000000,35.0,135.0,20.0,15.0,0.0,5.0,321.2923583984375
385,UPSID,jqr,JAQARU,jaqa1244,Jaqaru,2,ayma,Aymaran,Peru,America,740,-12.8823,-75.8958,39,36,0,3,385.0,UPSID,jqr,JAQARU,jaqa1244,Jaqaru,2.0,ayma,Aymaran,Peru,America,740,-12.8823,-75.8958,39.0,36.0,0.0,3.0,2255.94677734375
386,UPSID,jru,JAPRERIA,japr1238,Japreria,2,cari,Cariban,Venezuela,America,95,10.5523,-72.7101,24,12,0,12,386.0,UPSID,jru,JAPRERIA,japr1238,Japreria,2.0,cari,Cariban,Venezuela,America,95,10.5523,-72.7101,24.0,12.0,0.0,12.0,939.0599365234375
387,UPSID,kac,JINGPHO,kach1280,Kachin,1,sitb,Jinghpo,Myanmar,Asia,900000,25.4634,97.3278,30,25,0,5,387.0,UPSID,kac,JINGPHO,kach1280,Kachin,1.0,sitb,Jinghpo,Myanmar,Asia,900000,25.4634,97.3278,30.0,25.0,0.0,5.0,164.1596832275391
388,UPSID,kal,INUIT,kala1399,Kalaallisut,2,eska,Eskimo,Greenland,America,47800,69.3761,-52.864,22,19,0,3,388.0,UPSID,kal,INUIT,kala1399,Kalaallisut,2.0,eska,Eskimo,Greenland,America,47800,69.3761,-52.864,22.0,19.0,0.0,3.0,115.0469818115234
389,UPSID,kas,KASHMIRI,kash1277,Kashmiri,3,ieur,Indic,India,Asia,5420000,34.1668,74.3305,55,27,0,28,389.0,UPSID,kas,KASHMIRI,kash1277,Kashmiri,3.0,ieur,Indic,India,Asia,5420000,34.1668,74.3305,55.0,27.0,0.0,28.0,2192.0595703125
390,UPSID,kat,GEORGIAN,nucl1302,Nuclear Georgian,2,kart,Kartvelian,Georgia,Asia,3900000,39.3705,45.8066,34,28,0,6,390.0,UPSID,kat,GEORGIAN,nucl1302,Nuclear Georgian,2.0,kart,Kartvelian,Georgia,Asia,3900000,39.3705,45.8066,34.0,28.0,0.0,6.0,2204.326416015625
391,UPSID,kbd,KABARDIAN,kaba1278,Kabardian,2,ncau,Northwest Caucasian,Russian Federation,Europe,520000,43.5082,43.3918,56,49,0,7,391.0,UPSID,kbd,KABARDIAN,kaba1278,Kabardian,2.0,ncau,Northwest Caucasian,Russian Federation,Europe,520000,43.5082,43.3918,56.0,49.0,0.0,7.0,943.9383544921875
392,UPSID,kbh,CAMSA,cams1241,Camsa,2,saso,Camsá,Colombia,America,4770,1.14537,-76.8931,28,22,0,6,392.0,UPSID,kbh,CAMSA,cams1241,Camsa,2.0,saso,Camsá,Colombia,America,4770,1.14537,-76.8931,28.0,22.0,0.0,6.0,2379.51611328125
393,UPSID,kbk,KOIARI,gras1249,Grass Koiari,1,trng,Koiarian,Papua New Guinea,Pacific,1700,-9.51218,147.437,16,11,0,5,393.0,UPSID,kbk,KOIARI,gras1249,Grass Koiari,1.0,trng,Koiarian,Papua New Guinea,Pacific,1700,-9.51218,147.437,16.0,11.0,0.0,5.0,369.9662780761719
394,UPSID,kbr,KEFA,kafa1242,Kafa,1,afas,South Omotic,Ethiopia,Africa,570000,7.3402199999999995,36.1718,27,22,0,5,394.0,UPSID,kbr,KEFA,kafa1242,Kafa,1.0,afas,South Omotic,Ethiopia,Africa,570000,7.3402199999999995,36.1718,27.0,22.0,0.0,5.0,1800.4794921875
395,UPSID,kbv,DERA,dera1245,Dera (Indonesia),1,trng,Senagi,Indonesia,Asia,1000,-3.5230900000000003,140.947,17,11,0,6,395.0,UPSID,kbv,DERA,dera1245,Dera (Indonesia),1.0,trng,Senagi,Indonesia,Asia,1000,-3.5230900000000003,140.947,17.0,11.0,0.0,6.0,328.3450317382812
396,UPSID,kca,KHANTY,khan1273,Khanty,3,urlc,Ugric,Russian Federation,Europe,13600,62.4308,66.1218,32,19,0,13,396.0,UPSID,kca,KHANTY,khan1273,Khanty,3.0,urlc,Ugric,Russian Federation,Europe,13600,62.4308,66.1218,32.0,19.0,0.0,13.0,34.13621139526367
